gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 c5ea97c0-d0b3-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 07:36:54 GMT-0700 (Pacific Daylight Time),42751, USA,27340,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,42751,1,10,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,42751,1,10,4,0,-,-,,,,,,,,,
3,3,0,27340,1,5,4,2,-,-,,,,,,,,,
4,4,0,27340,0,3,4,2,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
5,5,0,42751,1,1,6.5,2,-,-,,,,,,,,,
6,6,0,42751,1,10,9,2,-,-,,,,,,,,,
7,7,0,27340,1,3,9,3.67,-,-,,,,,,,,,
8,8,0,27340,0,2,9,3.67,-,-,,,,,,,,,
9,9,0,42751,1,1,11.5,3.67,-,-,,,,,,,,,
10,10,0,42751,1,10,14,3.67,-,-,,,,,,,,,
11,11,0,27340,0,8,14,3.67,-,-,,,,,,,,,
12,12,0,27340,0,3,14,3.67,-,-,,,,,,,,,
13,13,0,27340,0,5,14,3.67,-,-,,,,,,,,,
14,14,0,27340,0,6,14,3.67,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,42751,0,5,14,3.67,-,-,,,,,,,,,
16,16,0,42751,1,6,16.5,3.67,-,-,,,,,,,,,
17,17,0,27340,0,6,16.5,3.67,-,-,,,,,,,,,
18,18,0,27340,1,10,16.5,5.34,-,-,,,,,,,,,
19,19,0,42751,1,5,19,5.34,-,-,,,,,,,,,
20,20,0,42751,1,7,21.5,5.34,-,-,,,,,,,,,
21,21,0,27340,1,3,21.5,7.01,-,-,,,,,,,,,
22,22,0,27340,0,8,21.5,7.01,-,-,,,,,,,,,
23,23,0,27340,0,3,21.5,7.01,-,-,,,,,,,,,
24,24,0,27340,0,3,21.5,7.01,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
25,25,0,42751,0,3,21.5,7.01,-,-,,,,,,,,,
26,26,0,42751,1,5,24,7.01,-,-,,,,,,,,,
27,27,0,27340,1,6,24,8.68,-,-,,,,,,,,,
28,28,0,27340,0,6,24,8.68,-,-,,,,,,,,,
29,29,0,42751,0,5,24,8.68,-,-,,,,,,,,,
30,30,0,42751,1,3,26.5,8.68,-,-,,,,,,,,,
31,31,0,27340,1,7,26.5,10.35,-,-,,,,,,,,,
32,32,0,27340,0,3,26.5,10.35,-,-,,,,,,,,,
33,33,0,27340,1,4,26.5,12.02,-,-,,,,,,,,,
34,34,0,27340,0,7,26.5,12.02,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
35,35,0,42751,1,6,29,12.02,-,-,,,,,,,,,
36,36,0,42751,1,5,31.5,12.02,-,-,,,,,,,,,
37,37,0,27340,1,3,31.5,13.69,-,-,,,,,,,,,
38,38,0,27340,1,3,31.5,15.36,-,-,,,,,,,,,
39,39,0,42751,0,5,31.5,15.36,-,-,,,,,,,,,
40,40,0,42751,1,5,34,15.36,-,-,,,,,,,,,
41,41,0,27340,0,3,34,15.36,-,-,,,,,,,,,
42,42,0,27340,1,10,34,17.03,-,-,,,,,,,,,
43,43,0,27340,1,3,34,18.7,-,-,,,,,,,,,
44,44,0,27340,1,5,34,20.37,-,-,,,,,,,,,
45,1,1,42751,0,7,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
46,2,1,42751,1,10,2,0,0,0,,,,,,,,,
47,3,1,27340,1,6,2,0,0,2,,,,,,,,,
48,4,1,27340,0,2,2,0,0,2,0.38,0.62,0.62,0.38,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
49,5,1,27340,1,3,2,0,0,4.5,,,,,,,,,
50,6,1,42751,0,7,2,0,0,4.5,,,,,,,,,
51,7,1,27340,1,3,2,0,0,7,,,,,,,,,
52,8,1,27340,0,4,2,0,0,7,,,,,,,,,
53,9,1,42751,1,10,2,0,1.67,7,,,,,,,,,
54,10,1,42751,1,10,4.5,0,1.67,7,,,,,,,,,
55,11,1,27340,1,6,4.5,0,1.67,9.5,,,,,,,,,
56,12,1,27340,0,3,4.5,0,1.67,9.5,,,,,,,,,
57,13,1,42751,0,3,4.5,0,1.67,9.5,,,,,,,,,
58,14,1,27340,0,10,4.5,0,1.67,9.5,0.25,0.75,0.88,0.12,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
59,15,1,42751,0,4,4.5,0,1.67,9.5,,,,,,,,,
60,16,1,42751,1,4,9.5,0,1.67,9.5,,,,,,,,,
61,17,1,27340,0,7,9.5,0,1.67,9.5,,,,,,,,,
62,18,1,27340,1,10,9.5,1.25,1.67,9.5,,,,,,,,,
63,19,1,42751,1,7,9.5,1.25,2.92,9.5,,,,,,,,,
64,20,1,27340,0,4,9.5,1.25,2.92,9.5,,,,,,,,,
65,21,1,42751,0,3,9.5,1.25,2.92,9.5,,,,,,,,,
66,22,1,27340,0,8,9.5,1.25,2.92,9.5,,,,,,,,,
67,23,1,42751,1,7,9.5,1.25,4.17,9.5,,,,,,,,,
68,24,1,27340,0,4,9.5,1.25,4.17,9.5,0.11,0.89,0.79,0.21,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
69,25,1,42751,0,9,9.5,1.25,4.17,9.5,,,,,,,,,
70,26,1,42751,1,4,14.5,1.25,4.17,9.5,,,,,,,,,
71,27,1,27340,1,6,14.5,1.25,4.17,14.5,,,,,,,,,
72,28,1,27340,0,3,14.5,1.25,4.17,14.5,,,,,,,,,
73,29,1,42751,0,7,14.5,1.25,4.17,14.5,,,,,,,,,
74,30,1,27340,1,1,14.5,2.5,4.17,14.5,,,,,,,,,
75,31,1,42751,1,9,14.5,2.5,5.42,14.5,,,,,,,,,
76,32,1,27340,0,2,14.5,2.5,5.42,14.5,,,,,,,,,
77,33,1,42751,0,5,14.5,2.5,5.42,14.5,,,,,,,,,
78,34,1,27340,0,4,14.5,2.5,5.42,14.5,0.05,0.95,0.91,0.09,0,1,1,0, 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
79,35,1,27340,0,5,14.5,2.5,5.42,NaN,,,,,,,,,
80,36,1,27340,1,3,14.5,3.5,5.42,,,,,,,,,,
81,37,1,42751,0,7,14.5,3.5,5.42,,,,,,,,,,
82,38,1,27340,0,10,14.5,3.5,5.42,,,,,,,,,,
83,39,1,42751,1,4,14.5,3.5,6.42,,,,,,,,,,
84,40,1,27340,0,2,14.5,3.5,6.42,,,,,,,,,,
85,41,1,42751,0,6,14.5,3.5,6.42,,,,,,,,,,
86,42,1,27340,0,5,14.5,3.5,6.42,,,,,,,,,,
87,43,1,42751,1,7,14.5,3.5,7.42,,,,,,,,,,
88,44,1,27340,0,2,14.5,3.5,7.42,,,,,,,,,,
