gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 996f9c30-d0b4-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 07:42:49 GMT-0700 (Pacific Daylight Time),74012, USA,67954,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,74012,0,8,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,74012,1,6,2,0,-,-,,,,,,,,,
3,3,0,67954,1,1,2,2,-,-,,,,,,,,,
4,4,0,67954,0,6,2,2,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,74012,0,8,2,2,-,-,,,,,,,,,
6,6,0,74012,1,5,3.67,2,-,-,,,,,,,,,
7,7,0,67954,1,5,3.67,4.5,-,-,,,,,,,,,
8,8,0,67954,1,9,3.67,7,-,-,,,,,,,,,
9,9,0,74012,0,5,3.67,7,-,-,,,,,,,,,
10,10,0,74012,1,7,5.34,7,-,-,,,,,,,,,
11,11,0,67954,0,10,5.34,7,-,-,,,,,,,,,
12,12,0,67954,0,3,5.34,7,-,-,,,,,,,,,
13,13,0,74012,1,8,7.01,7,-,-,,,,,,,,,
14,14,0,74012,0,6,7.01,7,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
15,15,0,74012,0,4,7.01,7,-,-,,,,,,,,,
16,16,0,74012,0,6,7.01,7,-,-,,,,,,,,,
17,17,0,67954,0,10,7.01,7,-,-,,,,,,,,,
18,18,0,67954,0,7,7.01,7,-,-,,,,,,,,,
19,19,0,74012,0,4,7.01,7,-,-,,,,,,,,,
20,20,0,74012,0,4,7.01,7,-,-,,,,,,,,,
21,21,0,67954,1,5,7.01,9.5,-,-,,,,,,,,,
22,22,0,67954,0,9,7.01,9.5,-,-,,,,,,,,,
23,23,0,74012,0,3,7.01,9.5,-,-,,,,,,,,,
24,24,0,74012,1,4,8.68,9.5,-,-,0.55,0.45,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
25,25,0,74012,1,7,10.35,9.5,-,-,,,,,,,,,
26,26,0,74012,1,7,12.02,9.5,-,-,,,,,,,,,
27,27,0,67954,1,1,12.02,12,-,-,,,,,,,,,
28,28,0,67954,0,6,12.02,12,-,-,,,,,,,,,
29,29,0,74012,0,4,12.02,12,-,-,,,,,,,,,
30,30,0,74012,1,4,13.69,12,-,-,,,,,,,,,
31,31,0,67954,1,1,13.69,14.5,-,-,,,,,,,,,
32,32,0,67954,0,3,13.69,14.5,-,-,,,,,,,,,
33,33,0,74012,0,6,13.69,14.5,-,-,,,,,,,,,
34,34,0,74012,1,6,15.36,14.5,-,-,0.45,0.55,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
35,35,0,74012,1,8,17.86,14.5,-,-,,,,,,,,,
36,36,0,74012,0,3,17.86,14.5,-,-,,,,,,,,,
37,37,0,67954,1,1,17.86,16.17,-,-,,,,,,,,,
38,38,0,67954,1,10,17.86,17.84,-,-,,,,,,,,,
39,39,0,74012,0,3,17.86,17.84,-,-,,,,,,,,,
40,40,0,74012,0,5,17.86,17.84,-,-,,,,,,,,,
41,41,0,67954,0,10,17.86,17.84,-,-,,,,,,,,,
42,42,0,67954,0,5,17.86,17.84,-,-,,,,,,,,,
43,43,0,67954,1,9,17.86,19.51,-,-,,,,,,,,,
44,44,0,67954,1,10,17.86,21.18,-,-,,,,,,,,,
45,1,1,74012,0,4,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
46,2,1,74012,1,3,2,0,0,0,,,,,,,,,
47,3,1,67954,1,4,2,0,0,2,,,,,,,,,
48,4,1,67954,1,10,2,2,0,2,0.5,0.5,0.62,0.38,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,74012,1,9,2,2,1.67,2,,,,,,,,,
50,6,1,74012,0,7,2,2,1.67,2,,,,,,,,,
51,7,1,67954,1,10,2,2,1.67,4.5,,,,,,,,,
52,8,1,67954,0,10,2,2,1.67,4.5,,,,,,,,,
53,9,1,74012,0,7,2,2,1.67,4.5,,,,,,,,,
54,10,1,74012,1,3,3.67,2,1.67,4.5,,,,,,,,,
55,11,1,67954,1,7,3.67,2,1.67,7,,,,,,,,,
56,12,1,67954,1,9,3.67,4.5,1.67,7,,,,,,,,,
57,13,1,74012,1,9,3.67,4.5,3.34,7,,,,,,,,,
58,14,1,74012,1,5,5.34,4.5,3.34,7,0.45,0.55,0.71,0.29,0.4,0.6,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1
59,15,1,74012,0,3,5.34,4.5,3.34,7,,,,,,,,,
60,16,1,74012,1,4,7.84,4.5,3.34,7,,,,,,,,,
61,17,1,67954,1,5,7.84,4.5,3.34,12,,,,,,,,,
62,18,1,67954,0,8,7.84,4.5,3.34,12,,,,,,,,,
63,19,1,74012,0,4,7.84,4.5,3.34,12,,,,,,,,,
64,20,1,74012,1,3,10.34,4.5,3.34,12,,,,,,,,,
65,21,1,74012,1,8,10.34,4.5,4.59,12,,,,,,,,,
66,22,1,67954,1,9,10.34,6.17,4.59,12,,,,,,,,,
67,23,1,74012,0,8,10.34,6.17,4.59,12,,,,,,,,,
68,24,1,67954,0,6,10.34,6.17,4.59,12,0.26,0.74,0.86,0.14,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
69,25,1,74012,0,5,10.34,6.17,4.59,12,,,,,,,,,
70,26,1,74012,1,3,15.34,6.17,4.59,12,,,,,,,,,
71,27,1,67954,1,4,15.34,6.17,4.59,17,,,,,,,,,
72,28,1,67954,0,5,15.34,6.17,4.59,17,,,,,,,,,
73,29,1,74012,1,8,15.34,6.17,5.84,17,,,,,,,,,
74,30,1,67954,1,1,15.34,7.42,5.84,17,,,,,,,,,
75,31,1,74012,0,6,15.34,7.42,5.84,17,,,,,,,,,
76,32,1,67954,0,4,15.34,7.42,5.84,17,,,,,,,,,
77,33,1,74012,1,8,15.34,7.42,7.09,17,,,,,,,,,
78,34,1,67954,0,8,15.34,7.42,7.09,17,0.12,0.88,0.92,0.08,0.2,0.8,1,0, 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
79,35,1,74012,0,3,15.34,7.42,7.09,17,,,,,,,,,
80,36,1,74012,0,8,15.34,7.42,7.09,17,,,,,,,,,
81,37,1,74012,1,8,15.34,7.42,8.09,17,,,,,,,,,
82,38,1,67954,1,10,15.34,8.67,8.09,17,,,,,,,,,
83,39,1,74012,0,3,15.34,8.67,8.09,17,,,,,,,,,
84,40,1,67954,0,9,15.34,8.67,8.09,17,,,,,,,,,
85,41,1,74012,1,10,15.34,8.67,9.09,17,,,,,,,,,
86,42,1,67954,0,3,15.34,8.67,9.09,17,,,,,,,,,
87,43,1,74012,0,4,15.34,8.67,9.09,17,,,,,,,,,
88,44,1,67954,0,6,15.34,8.67,9.09,17,,,,,,,,,
