gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 b68e2390-d0b4-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 07:43:38 GMT-0700 (Pacific Daylight Time),83080, USA,31479,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,83080,0,4,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,83080,1,5,2,0,-,-,,,,,,,,,
3,3,0,31479,1,4,2,2,-,-,,,,,,,,,
4,4,0,31479,0,3,2,2,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,83080,0,5,2,2,-,-,,,,,,,,,
6,6,0,83080,1,7,3.67,2,-,-,,,,,,,,,
7,7,0,31479,0,6,3.67,2,-,-,,,,,,,,,
8,8,0,31479,0,3,3.67,2,-,-,,,,,,,,,
9,9,0,83080,0,3,3.67,2,-,-,,,,,,,,,
10,10,0,83080,1,5,5.34,2,-,-,,,,,,,,,
11,11,0,31479,1,4,5.34,4.5,-,-,,,,,,,,,
12,12,0,31479,0,4,5.34,4.5,-,-,,,,,,,,,
13,13,0,83080,0,4,5.34,4.5,-,-,,,,,,,,,
14,14,0,83080,0,5,5.34,4.5,-,-,0.45,0.55,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,83080,0,3,5.34,4.5,-,-,,,,,,,,,
16,16,0,83080,1,6,7.84,4.5,-,-,,,,,,,,,
17,17,0,31479,1,4,7.84,6.17,-,-,,,,,,,,,
18,18,0,31479,0,5,7.84,6.17,-,-,,,,,,,,,
19,19,0,83080,0,4,7.84,6.17,-,-,,,,,,,,,
20,20,0,83080,0,7,7.84,6.17,-,-,,,,,,,,,
21,21,0,31479,1,8,7.84,7.84,-,-,,,,,,,,,
22,22,0,31479,0,4,7.84,7.84,-,-,,,,,,,,,
23,23,0,31479,1,3,7.84,9.51,-,-,,,,,,,,,
24,24,0,31479,0,3,7.84,9.51,-,-,0.6,0.4,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
25,25,0,83080,0,3,7.84,9.51,-,-,,,,,,,,,
26,26,0,83080,0,5,7.84,9.51,-,-,,,,,,,,,
27,27,0,31479,1,4,7.84,12.01,-,-,,,,,,,,,
28,28,0,31479,0,3,7.84,12.01,-,-,,,,,,,,,
29,29,0,83080,0,3,7.84,12.01,-,-,,,,,,,,,
30,30,0,83080,1,6,9.51,12.01,-,-,,,,,,,,,
31,31,0,31479,1,6,9.51,14.51,-,-,,,,,,,,,
32,32,0,31479,0,2,9.51,14.51,-,-,,,,,,,,,
33,33,0,83080,0,5,9.51,14.51,-,-,,,,,,,,,
34,34,0,83080,1,5,11.18,14.51,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
35,35,0,83080,0,4,11.18,14.51,-,-,,,,,,,,,
36,36,0,83080,1,7,12.85,14.51,-,-,,,,,,,,,
37,37,0,31479,1,8,12.85,17.01,-,-,,,,,,,,,
38,38,0,31479,0,5,12.85,17.01,-,-,,,,,,,,,
39,39,0,83080,0,3,12.85,17.01,-,-,,,,,,,,,
40,40,0,83080,1,4,14.52,17.01,-,-,,,,,,,,,
41,41,0,31479,1,5,14.52,19.51,-,-,,,,,,,,,
42,42,0,31479,0,3,14.52,19.51,-,-,,,,,,,,,
43,43,0,83080,0,3,14.52,19.51,-,-,,,,,,,,,
44,44,0,83080,1,4,16.19,19.51,-,-,,,,,,,,,
