gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 e0d3d320-d0b4-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 07:44:49 GMT-0700 (Pacific Daylight Time),74824, USA,72414,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,74824,1,10,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,74824,0,4,2,0,-,-,,,,,,,,,
3,3,0,72414,0,3,2,0,-,-,,,,,,,,,
4,4,0,72414,0,2,2,0,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
5,5,0,74824,1,5,4.5,0,-,-,,,,,,,,,
6,6,0,74824,0,4,4.5,0,-,-,,,,,,,,,
7,7,0,72414,1,3,4.5,1.67,-,-,,,,,,,,,
8,8,0,72414,0,3,4.5,1.67,-,-,,,,,,,,,
9,9,0,74824,1,8,7,1.67,-,-,,,,,,,,,
10,10,0,74824,0,3,7,1.67,-,-,,,,,,,,,
11,11,0,72414,1,3,7,3.34,-,-,,,,,,,,,
12,12,0,72414,0,2,7,3.34,-,-,,,,,,,,,
13,13,0,72414,0,4,7,3.34,-,-,,,,,,,,,
14,14,0,72414,1,3,7,5.01,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,72414,1,4,7,6.68,-,-,,,,,,,,,
16,16,0,74824,0,3,7,6.68,-,-,,,,,,,,,
17,17,0,72414,1,3,7,8.35,-,-,,,,,,,,,
18,18,0,72414,1,9,7,10.02,-,-,,,,,,,,,
19,19,0,74824,1,4,9.5,10.02,-,-,,,,,,,,,
20,20,0,74824,0,5,9.5,10.02,-,-,,,,,,,,,
21,21,0,72414,1,3,9.5,11.69,-,-,,,,,,,,,
22,22,0,72414,0,4,9.5,11.69,-,-,,,,,,,,,
