gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 7fe4a660-d0b5-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 07:49:16 GMT-0700 (Pacific Daylight Time),32441, USA,98778,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,32441,1,5,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,32441,1,6,4,0,-,-,,,,,,,,,
3,3,0,96055,1,6,4,2,-,-,,,,,,,,,
4,4,0,96055,0,3,4,2,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
5,5,0,32441,0,2,4,2,-,-,,,,,,,,,
6,6,0,32441,1,7,6.5,2,-,-,,,,,,,,,
7,7,0,96055,1,5,6.5,3.67,-,-,,,,,,,,,
8,8,0,96055,0,5,6.5,3.67,-,-,,,,,,,,,
9,9,0,32441,1,4,9,3.67,-,-,,,,,,,,,
10,10,0,32441,0,6,9,3.67,-,-,,,,,,,,,
11,11,0,96055,1,6,9,5.34,-,-,,,,,,,,,
12,12,0,96055,0,5,9,5.34,-,-,,,,,,,,,
13,13,0,96055,1,10,9,7.01,-,-,,,,,,,,,
14,14,0,96055,0,5,9,7.01,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,96055,1,8,9,8.68,-,-,,,,,,,,,
16,16,0,32441,0,5,9,8.68,-,-,,,,,,,,,
17,17,0,96055,1,4,9,10.35,-,-,,,,,,,,,
18,18,0,96055,0,3,9,10.35,-,-,,,,,,,,,
19,19,0,32441,1,4,11.5,10.35,-,-,,,,,,,,,
20,20,0,32441,0,3,11.5,10.35,-,-,,,,,,,,,
21,21,0,96055,1,8,11.5,12.02,-,-,,,,,,,,,
