gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,,,,,,,,,,
 94889db0-d0b5-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 07:49:51 GMT-0700 (Pacific Daylight Time),64024, USA,39521,  INDIA, False, True ,,,,,,,,,,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns ,,,,,,,,,
1,1,0,64024,0,5,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1,,,,,,,,,
2,2,0,64024,1,6,2,0,-,-,,,,,,,,,,,,,,,,,,
3,3,0,39521,0,3,2,0,-,-,,,,,,,,,,,,,,,,,,
4,4,0,39521,0,3,2,0,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1,,,,,,,,,
5,5,0,64024,0,4,2,0,-,-,,,,,,,,,,,,,,,,,,
6,6,0,64024,1,5,4.5,0,-,-,,,,,,,,,,,,,,,,,,
7,7,0,39521,0,10,4.5,0,-,-,,,,,,,,,,,,,,,,,,
8,8,0,39521,0,4,4.5,0,-,-,,,,,,,,,,,,,,,,,,
9,9,0,64024,0,3,4.5,0,-,-,,,,,,,,,,,,,,,,,,
10,10,0,64024,1,10,7,0,-,-,,,,,,,,,,,,,,,,,,
11,11,0,39521,1,10,7,1.67,-,-,,,,,,,,,,,,,,,,,,
12,12,0,39521,0,3,7,1.67,-,-,,,,,,,,,,,,,,,,,,
13,13,0,39521,1,10,7,3.34,-,-,,,,,,,,,,,,,,,,,,
14,14,0,39521,0,6,7,3.34,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1,,,,,,,,,
15,15,0,64024,0,4,7,3.34,-,-,,,,,,,,,,,,,,,,,,
16,16,0,64024,0,3,7,3.34,-,-,,,,,,,,,,,,,,,,,,
17,17,0,39521,0,5,7,3.34,-,-,,,,,,,,,,,,,,,,,,
18,18,0,39521,0,10,7,3.34,-,-,,,,,,,,,,,,,,,,,,
19,19,0,64024,0,6,7,3.34,-,-,,,,,,,,,,,,,,,,,,
20,20,0,64024,1,8,9.5,3.34,-,-,,,,,,,,,,,,,,,,,,
21,21,0,39521,1,9,9.5,5.01,-,-,,,,,,,,,,,,,,,,,,
22,22,0,39521,0,8,9.5,5.01,-,-,,,,,,,,,,,,,,,,,,
