gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 b489ab90-d0b5-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 07:50:44 GMT-0700 (Pacific Daylight Time),63272, USA,82472,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,63272,1,3,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,63272,1,10,4,0,-,-,,,,,,,,,
3,3,0,82472,0,5,4,0,-,-,,,,,,,,,
4,4,0,82472,0,6,4,0,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
5,5,0,63272,0,4,4,0,-,-,,,,,,,,,
6,6,0,63272,1,2,6.5,0,-,-,,,,,,,,,
7,7,0,82472,0,2,6.5,0,-,-,,,,,,,,,
8,8,0,82472,0,4,6.5,0,-,-,,,,,,,,,
9,9,0,63272,0,4,6.5,0,-,-,,,,,,,,,
10,10,0,63272,0,2,6.5,0,-,-,,,,,,,,,
11,11,0,82472,1,1,6.5,1.67,-,-,,,,,,,,,
12,12,0,82472,0,3,6.5,1.67,-,-,,,,,,,,,
13,13,0,82472,1,6,6.5,3.34,-,-,,,,,,,,,
14,14,0,82472,0,3,6.5,3.34,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,82472,1,10,6.5,5.01,-,-,,,,,,,,,
16,16,0,63272,1,2,9,5.01,-,-,,,,,,,,,
17,17,0,82472,1,8,9,6.68,-,-,,,,,,,,,
18,18,0,82472,1,10,9,8.35,-,-,,,,,,,,,
19,19,0,63272,1,3,11.5,8.35,-,-,,,,,,,,,
20,20,0,63272,0,4,11.5,8.35,-,-,,,,,,,,,
21,21,0,82472,1,4,11.5,10.02,-,-,,,,,,,,,
22,22,0,82472,0,3,11.5,10.02,-,-,,,,,,,,,
23,23,0,82472,1,10,11.5,11.69,-,-,,,,,,,,,
24,24,0,82472,0,4,11.5,11.69,-,-,0.51,0.49,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
25,25,0,63272,0,5,11.5,11.69,-,-,,,,,,,,,
26,26,0,63272,1,2,13.17,11.69,-,-,,,,,,,,,
27,27,0,82472,1,6,13.17,14.19,-,-,,,,,,,,,
28,28,0,82472,0,4,13.17,14.19,-,-,,,,,,,,,
29,29,0,63272,0,6,13.17,14.19,-,-,,,,,,,,,
30,30,0,63272,0,2,13.17,14.19,-,-,,,,,,,,,
31,31,0,82472,0,7,13.17,14.19,-,-,,,,,,,,,
32,32,0,82472,0,3,13.17,14.19,-,-,,,,,,,,,
33,33,0,63272,0,2,13.17,14.19,-,-,,,,,,,,,
34,34,0,63272,0,3,13.17,14.19,-,-,0.56,0.44,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
35,35,0,63272,1,2,14.84,14.19,-,-,,,,,,,,,
36,36,0,63272,1,2,16.51,14.19,-,-,,,,,,,,,
37,37,0,82472,0,4,16.51,14.19,-,-,,,,,,,,,
38,38,0,82472,0,6,16.51,14.19,-,-,,,,,,,,,
39,39,0,63272,1,5,18.18,14.19,-,-,,,,,,,,,
40,40,0,63272,0,3,18.18,14.19,-,-,,,,,,,,,
