gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 224751d0-d0b8-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 08:08:07 GMT-0700 (Pacific Daylight Time),96795, USA,39349,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,96795,0,4,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,96795,0,4,0,0,-,-,,,,,,,,,
3,3,0,39349,0,2,0,0,-,-,,,,,,,,,
4,4,0,39349,0,2,0,0,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,96795,0,4,0,0,-,-,,,,,,,,,
6,6,0,96795,1,3,1.67,0,-,-,,,,,,,,,
7,7,0,39349,0,7,1.67,0,-,-,,,,,,,,,
8,8,0,39349,0,3,1.67,0,-,-,,,,,,,,,
9,9,0,96795,0,10,1.67,0,-,-,,,,,,,,,
10,10,0,96795,0,4,1.67,0,-,-,,,,,,,,,
11,11,0,39349,1,8,1.67,2.5,-,-,,,,,,,,,
12,12,0,39349,0,4,1.67,2.5,-,-,,,,,,,,,
13,13,0,96795,0,3,1.67,2.5,-,-,,,,,,,,,
14,14,0,96795,1,4,3.34,2.5,-,-,0.45,0.55,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,96795,0,4,3.34,2.5,-,-,,,,,,,,,
16,16,0,96795,1,4,5.84,2.5,-,-,,,,,,,,,
17,17,0,39349,1,1,5.84,4.17,-,-,,,,,,,,,
18,18,0,39349,0,8,5.84,4.17,-,-,,,,,,,,,
19,19,0,96795,1,3,8.34,4.17,-,-,,,,,,,,,
20,20,0,96795,1,2,10.84,4.17,-,-,,,,,,,,,
21,21,0,39349,1,10,10.84,5.84,-,-,,,,,,,,,
22,22,0,39349,0,10,10.84,5.84,-,-,,,,,,,,,
23,23,0,39349,1,10,10.84,7.51,-,-,,,,,,,,,
24,24,0,39349,0,7,10.84,7.51,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
25,25,0,96795,0,3,10.84,7.51,-,-,,,,,,,,,
26,26,0,96795,1,5,13.34,7.51,-,-,,,,,,,,,
27,27,0,39349,1,9,13.34,9.18,-,-,,,,,,,,,
28,28,0,39349,0,9,13.34,9.18,-,-,,,,,,,,,
29,29,0,96795,0,4,13.34,9.18,-,-,,,,,,,,,
30,30,0,96795,1,3,15.84,9.18,-,-,,,,,,,,,
31,31,0,39349,1,3,15.84,10.85,-,-,,,,,,,,,
32,32,0,39349,0,3,15.84,10.85,-,-,,,,,,,,,
33,33,0,39349,1,7,15.84,12.52,-,-,,,,,,,,,
34,34,0,39349,1,4,15.84,14.19,-,-,0.4,0.6,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
35,35,0,96795,0,3,15.84,14.19,-,-,,,,,,,,,
36,36,0,96795,1,3,18.34,14.19,-,-,,,,,,,,,
37,37,0,39349,1,2,18.34,15.86,-,-,,,,,,,,,
38,38,0,39349,0,3,18.34,15.86,-,-,,,,,,,,,
39,39,0,96795,0,3,18.34,15.86,-,-,,,,,,,,,
40,40,0,96795,1,5,20.84,15.86,-,-,,,,,,,,,
41,41,0,39349,1,1,20.84,17.53,-,-,,,,,,,,,
42,42,0,39349,0,3,20.84,17.53,-,-,,,,,,,,,
43,43,0,39349,1,8,20.84,19.2,-,-,,,,,,,,,
44,44,0,39349,1,5,20.84,20.87,-,-,,,,,,,,,
45,1,1,96795,0,5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
46,2,1,96795,0,3,0,0,0,0,,,,,,,,,
47,3,1,39349,0,10,0,0,0,0,,,,,,,,,
48,4,1,39349,0,3,0,0,0,0,0.5,0.5,0.5,0.5,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,96795,0,3,0,0,0,0,,,,,,,,,
50,6,1,96795,1,3,1.67,0,0,0,,,,,,,,,
51,7,1,39349,0,3,1.67,0,0,0,,,,,,,,,
