gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 36c1ef30-d0b8-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 08:08:42 GMT-0700 (Pacific Daylight Time),19941, USA,40521,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,19941,0,7,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,19941,1,8,2,0,-,-,,,,,,,,,
3,3,0,40521,1,10,2,2,-,-,,,,,,,,,
4,4,0,40521,1,10,2,4,-,-,0.62,0.38,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,19941,0,4,2,4,-,-,,,,,,,,,
6,6,0,19941,1,6,3.67,4,-,-,,,,,,,,,
7,7,0,40521,1,10,3.67,6.5,-,-,,,,,,,,,
8,8,0,40521,1,10,3.67,9,-,-,,,,,,,,,
9,9,0,19941,0,3,3.67,9,-,-,,,,,,,,,
10,10,0,19941,0,5,3.67,9,-,-,,,,,,,,,
11,11,0,40521,1,10,3.67,11.5,-,-,,,,,,,,,
12,12,0,40521,1,10,3.67,14,-,-,,,,,,,,,
13,13,0,19941,0,7,3.67,14,-,-,,,,,,,,,
14,14,0,19941,0,5,3.67,14,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
15,15,0,19941,0,5,3.67,14,-,-,,,,,,,,,
16,16,0,19941,1,5,5.34,14,-,-,,,,,,,,,
17,17,0,40521,1,10,5.34,16.5,-,-,,,,,,,,,
18,18,0,40521,1,10,5.34,19,-,-,,,,,,,,,
19,19,0,19941,0,7,5.34,19,-,-,,,,,,,,,
20,20,0,19941,1,6,7.01,19,-,-,,,,,,,,,
21,21,0,40521,1,10,7.01,21.5,-,-,,,,,,,,,
22,22,0,40521,1,10,7.01,24,-,-,,,,,,,,,
23,23,0,19941,0,4,7.01,24,-,-,,,,,,,,,
24,24,0,19941,1,7,8.68,24,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
25,25,0,19941,0,5,8.68,24,-,-,,,,,,,,,
26,26,0,19941,1,6,10.35,24,-,-,,,,,,,,,
27,27,0,40521,1,10,10.35,26.5,-,-,,,,,,,,,
28,28,0,40521,1,10,10.35,29,-,-,,,,,,,,,
29,29,0,19941,0,5,10.35,29,-,-,,,,,,,,,
30,30,0,19941,1,5,12.02,29,-,-,,,,,,,,,
31,31,0,40521,1,10,12.02,31.5,-,-,,,,,,,,,
32,32,0,40521,1,10,12.02,34,-,-,,,,,,,,,
33,33,0,19941,0,5,12.02,34,-,-,,,,,,,,,
34,34,0,19941,0,7,12.02,34,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
35,35,0,19941,1,7,13.69,34,-,-,,,,,,,,,
36,36,0,19941,1,6,15.36,34,-,-,,,,,,,,,
37,37,0,40521,1,10,15.36,36.5,-,-,,,,,,,,,
38,38,0,40521,1,10,15.36,39,-,-,,,,,,,,,
39,39,0,19941,1,7,17.03,39,-,-,,,,,,,,,
40,40,0,19941,1,7,18.7,39,-,-,,,,,,,,,
41,41,0,40521,1,10,18.7,41.5,-,-,,,,,,,,,
42,42,0,40521,1,10,18.7,44,-,-,,,,,,,,,
43,43,0,19941,0,4,18.7,44,-,-,,,,,,,,,
44,44,0,19941,1,6,20.37,44,-,-,,,,,,,,,
45,1,1,19941,0,6,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
46,2,1,19941,1,7,2,0,0,0,,,,,,,,,
47,3,1,40521,1,3,2,0,0,2,,,,,,,,,
48,4,1,40521,0,2,2,0,0,2,0.38,0.62,0.62,0.38,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
