gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 f125ffb0-d0b8-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 08:13:54 GMT-0700 (Pacific Daylight Time),40053, USA,19458,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,40053,0,6,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,40053,0,7,0,0,-,-,,,,,,,,,
3,3,0,19458,1,5,0,2,-,-,,,,,,,,,
4,4,0,19458,0,7,0,2,-,-,0.62,0.38,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,40053,0,3,0,2,-,-,,,,,,,,,
6,6,0,40053,0,8,0,2,-,-,,,,,,,,,
7,7,0,19458,1,5,0,4.5,-,-,,,,,,,,,
8,8,0,19458,0,5,0,4.5,-,-,,,,,,,,,
9,9,0,40053,0,3,0,4.5,-,-,,,,,,,,,
10,10,0,40053,0,6,0,4.5,-,-,,,,,,,,,
11,11,0,19458,0,6,0,4.5,-,-,,,,,,,,,
12,12,0,19458,0,5,0,4.5,-,-,,,,,,,,,
13,13,0,40053,0,2,0,4.5,-,-,,,,,,,,,
14,14,0,40053,1,2,1.67,4.5,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
15,15,0,40053,0,4,1.67,4.5,-,-,,,,,,,,,
16,16,0,40053,1,2,3.34,4.5,-,-,,,,,,,,,
17,17,0,19458,0,5,3.34,4.5,-,-,,,,,,,,,
18,18,0,19458,0,5,3.34,4.5,-,-,,,,,,,,,
19,19,0,40053,0,2,3.34,4.5,-,-,,,,,,,,,
20,20,0,40053,0,3,3.34,4.5,-,-,,,,,,,,,
21,21,0,19458,1,6,3.34,7,-,-,,,,,,,,,
22,22,0,19458,0,6,3.34,7,-,-,,,,,,,,,
23,23,0,40053,0,3,3.34,7,-,-,,,,,,,,,
24,24,0,40053,0,4,3.34,7,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
25,25,0,40053,0,2,3.34,7,-,-,,,,,,,,,
26,26,0,40053,1,3,5.01,7,-,-,,,,,,,,,
27,27,0,19458,1,6,5.01,9.5,-,-,,,,,,,,,
28,28,0,19458,0,5,5.01,9.5,-,-,,,,,,,,,
29,29,0,40053,0,2,5.01,9.5,-,-,,,,,,,,,
30,30,0,40053,1,2,6.68,9.5,-,-,,,,,,,,,
31,31,0,19458,1,3,6.68,12,-,-,,,,,,,,,
32,32,0,19458,0,3,6.68,12,-,-,,,,,,,,,
33,33,0,40053,0,3,6.68,12,-,-,,,,,,,,,
34,34,0,40053,1,4,8.35,12,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
35,35,0,40053,0,4,8.35,12,-,-,,,,,,,,,
36,36,0,40053,0,3,8.35,12,-,-,,,,,,,,,
37,37,0,19458,0,5,8.35,12,-,-,,,,,,,,,
38,38,0,19458,0,4,8.35,12,-,-,,,,,,,,,
39,39,0,40053,0,3,8.35,12,-,-,,,,,,,,,
40,40,0,40053,0,2,8.35,12,-,-,,,,,,,,,
41,41,0,19458,1,3,8.35,14.5,-,-,,,,,,,,,
42,42,0,19458,0,5,8.35,14.5,-,-,,,,,,,,,
43,43,0,40053,0,2,8.35,14.5,-,-,,,,,,,,,
44,44,0,40053,0,2,8.35,14.5,-,-,,,,,,,,,
45,1,1,40053,0,3,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
46,2,1,40053,1,2,2,0,0,0,,,,,,,,,
47,3,1,19458,1,4,2,0,0,2,,,,,,,,,
48,4,1,19458,0,3,2,0,0,2,0.38,0.62,0.62,0.38,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
49,5,1,40053,0,4,2,0,0,2,,,,,,,,,
50,6,1,40053,1,2,4.5,0,0,2,,,,,,,,,
51,7,1,19458,0,8,4.5,0,0,2,,,,,,,,,
52,8,1,19458,0,4,4.5,0,0,2,,,,,,,,,
53,9,1,40053,0,4,4.5,0,0,2,,,,,,,,,
54,10,1,40053,1,2,7,0,0,2,,,,,,,,,
55,11,1,19458,1,2,7,0,0,4.5,,,,,,,,,
56,12,1,19458,0,5,7,0,0,4.5,,,,,,,,,
57,13,1,40053,0,4,7,0,0,4.5,,,,,,,,,
58,14,1,19458,0,4,7,0,0,4.5,0.15,0.85,0.75,0.25,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
59,15,1,40053,0,3,7,0,0,4.5,,,,,,,,,
60,16,1,40053,1,2,12,0,0,4.5,,,,,,,,,
61,17,1,19458,0,3,12,0,0,4.5,,,,,,,,,
62,18,1,19458,0,4,12,0,0,4.5,,,,,,,,,
63,19,1,40053,0,2,12,0,0,4.5,,,,,,,,,
64,20,1,19458,0,3,12,0,0,4.5,,,,,,,,,
65,21,1,40053,0,3,12,0,0,4.5,,,,,,,,,
66,22,1,19458,0,5,12,0,0,4.5,,,,,,,,,
67,23,1,40053,0,2,12,0,0,4.5,,,,,,,,,
68,24,1,19458,0,2,12,0,0,4.5,0.05,0.95,0.75,0.25,0,1,0.8,0.2, 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
69,25,1,40053,0,3,12,0,0,4.5,,,,,,,,,
70,26,1,19458,0,3,12,0,0,4.5,,,,,,,,,
71,27,1,19458,1,2,12,0,0,9.5,,,,,,,,,
72,28,1,19458,0,4,12,0,0,9.5,,,,,,,,,
73,29,1,40053,0,2,12,0,0,9.5,,,,,,,,,
74,30,1,19458,0,4,12,0,0,9.5,,,,,,,,,
75,31,1,40053,0,3,12,0,0,9.5,,,,,,,,,
76,32,1,19458,0,3,12,0,0,9.5,,,,,,,,,
77,33,1,40053,0,2,12,0,0,9.5,,,,,,,,,
78,34,1,19458,0,7,12,0,0,9.5,0.05,0.95,0.92,0.08,0,1,1,0, 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
79,35,1,40053,0,2,12,0,0,9.5,,,,,,,,,
80,36,1,19458,0,4,12,0,0,9.5,,,,,,,,,
81,37,1,40053,0,2,12,0,0,9.5,,,,,,,,,
82,38,1,19458,0,4,12,0,0,9.5,,,,,,,,,
83,39,1,40053,0,2,12,0,0,9.5,,,,,,,,,
84,40,1,19458,0,5,12,0,0,9.5,,,,,,,,,
85,41,1,40053,0,3,12,0,0,9.5,,,,,,,,,
86,42,1,19458,0,6,12,0,0,9.5,,,,,,,,,
87,43,1,40053,0,3,12,0,0,9.5,,,,,,,,,
88,44,1,19458,0,4,12,0,0,9.5,,,,,,,,,
