gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 0a463050-d0b9-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 08:14:37 GMT-0700 (Pacific Daylight Time),32930, USA,94236,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,32930,1,4,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,32930,1,2,4,0,-,-,,,,,,,,,
3,3,0,94236,1,3,4,2,-,-,,,,,,,,,
4,4,0,94236,0,3,4,2,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
5,5,0,94236,1,2,4,3.67,-,-,,,,,,,,,
6,6,0,32930,1,6,6.5,3.67,-,-,,,,,,,,,
7,7,0,94236,1,3,6.5,5.34,-,-,,,,,,,,,
8,8,0,94236,1,10,6.5,7.01,-,-,,,,,,,,,
9,9,0,32930,1,7,9,7.01,-,-,,,,,,,,,
10,10,0,32930,0,3,9,7.01,-,-,,,,,,,,,
11,11,0,94236,1,3,9,8.68,-,-,,,,,,,,,
12,12,0,94236,0,3,9,8.68,-,-,,,,,,,,,
13,13,0,94236,1,2,9,10.35,-,-,,,,,,,,,
14,14,0,94236,0,3,9,10.35,-,-,0.58,0.42,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
15,15,0,32930,1,3,10.67,10.35,-,-,,,,,,,,,
16,16,0,32930,1,3,12.34,10.35,-,-,,,,,,,,,
17,17,0,94236,1,2,12.34,12.85,-,-,,,,,,,,,
18,18,0,94236,0,3,12.34,12.85,-,-,,,,,,,,,
19,19,0,32930,0,1,12.34,12.85,-,-,,,,,,,,,
20,20,0,32930,1,4,14.01,12.85,-,-,,,,,,,,,
21,21,0,94236,1,5,14.01,15.35,-,-,,,,,,,,,
22,22,0,94236,0,6,14.01,15.35,-,-,,,,,,,,,
23,23,0,32930,0,3,14.01,15.35,-,-,,,,,,,,,
24,24,0,32930,1,4,15.68,15.35,-,-,0.48,0.52,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
25,25,0,32930,1,2,18.18,15.35,-,-,,,,,,,,,
26,26,0,32930,0,2,18.18,15.35,-,-,,,,,,,,,
27,27,0,94236,1,3,18.18,17.02,-,-,,,,,,,,,
28,28,0,94236,0,3,18.18,17.02,-,-,,,,,,,,,
29,29,0,32930,1,3,20.68,17.02,-,-,,,,,,,,,
30,30,0,32930,1,10,23.18,17.02,-,-,,,,,,,,,
31,31,0,94236,0,3,23.18,17.02,-,-,,,,,,,,,
32,32,0,94236,0,2,23.18,17.02,-,-,,,,,,,,,
