gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 9af38370-d0bc-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 08:40:08 GMT-0700 (Pacific Daylight Time),94311, USA,65862,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,94311,0,6,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,94311,1,5,2,0,-,-,,,,,,,,,
3,3,0,65862,0,5,2,0,-,-,,,,,,,,,
4,4,0,65862,0,10,2,0,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
5,5,0,94311,0,5,2,0,-,-,,,,,,,,,
6,6,0,94311,1,2,4.5,0,-,-,,,,,,,,,
7,7,0,65862,1,6,4.5,1.67,-,-,,,,,,,,,
8,8,0,65862,0,6,4.5,1.67,-,-,,,,,,,,,
9,9,0,94311,0,3,4.5,1.67,-,-,,,,,,,,,
10,10,0,94311,1,10,7,1.67,-,-,,,,,,,,,
11,11,0,65862,1,4,7,3.34,-,-,,,,,,,,,
12,12,0,65862,1,2,7,5.01,-,-,,,,,,,,,
13,13,0,65862,0,8,7,5.01,-,-,,,,,,,,,
14,14,0,65862,0,8,7,5.01,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,94311,1,1,9.5,5.01,-,-,,,,,,,,,
16,16,0,94311,1,10,12,5.01,-,-,,,,,,,,,
17,17,0,65862,1,4,12,6.68,-,-,,,,,,,,,
18,18,0,65862,1,5,12,8.35,-,-,,,,,,,,,
19,19,0,94311,1,1,14.5,8.35,-,-,,,,,,,,,
20,20,0,94311,1,10,17,8.35,-,-,,,,,,,,,
21,21,0,65862,0,4,17,8.35,-,-,,,,,,,,,
22,22,0,65862,1,3,17,10.02,-,-,,,,,,,,,
23,23,0,65862,1,4,17,11.69,-,-,,,,,,,,,
24,24,0,65862,0,4,17,11.69,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
25,25,0,94311,1,1,19.5,11.69,-,-,,,,,,,,,
26,26,0,94311,1,10,22,11.69,-,-,,,,,,,,,
27,27,0,65862,1,5,22,13.36,-,-,,,,,,,,,
28,28,0,65862,0,4,22,13.36,-,-,,,,,,,,,
29,29,0,94311,1,1,24.5,13.36,-,-,,,,,,,,,
30,30,0,94311,1,10,27,13.36,-,-,,,,,,,,,
31,31,0,65862,1,3,27,15.03,-,-,,,,,,,,,
32,32,0,65862,0,3,27,15.03,-,-,,,,,,,,,
33,33,0,65862,0,5,27,15.03,-,-,,,,,,,,,
34,34,0,65862,1,5,27,16.7,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
35,35,0,94311,1,1,29.5,16.7,-,-,,,,,,,,,
36,36,0,94311,1,10,32,16.7,-,-,,,,,,,,,
37,37,0,65862,0,2,32,16.7,-,-,,,,,,,,,
38,38,0,65862,1,10,32,18.37,-,-,,,,,,,,,
39,39,0,94311,1,10,34.5,18.37,-,-,,,,,,,,,
40,40,0,94311,1,10,37,18.37,-,-,,,,,,,,,
41,41,0,65862,1,10,37,20.04,-,-,,,,,,,,,
42,42,0,65862,0,2,37,20.04,-,-,,,,,,,,,
43,43,0,65862,1,5,37,21.71,-,-,,,,,,,,,
44,44,0,65862,1,9,37,23.38,-,-,,,,,,,,,
45,1,1,94311,1,10,0,0,2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
46,2,1,94311,1,10,2,0,2,0,,,,,,,,,
47,3,1,65862,1,4,2,0,2,2,,,,,,,,,
48,4,1,65862,1,8,2,2,2,2,0.5,0.5,0.5,0.5,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,94311,1,1,2,2,3.67,2,,,,,,,,,
50,6,1,94311,1,10,3.67,2,3.67,2,,,,,,,,,
51,7,1,65862,0,7,3.67,2,3.67,2,,,,,,,,,
52,8,1,65862,1,7,3.67,4.5,3.67,2,,,,,,,,,
53,9,1,94311,1,1,3.67,4.5,5.34,2,,,,,,,,,
54,10,1,94311,1,10,5.34,4.5,5.34,2,,,,,,,,,
55,11,1,65862,1,4,5.34,4.5,5.34,4.5,,,,,,,,,
56,12,1,65862,0,10,5.34,4.5,5.34,4.5,,,,,,,,,
57,13,1,94311,1,1,5.34,4.5,7.01,4.5,,,,,,,,,
58,14,1,94311,1,10,7.01,4.5,7.01,4.5,0.35,0.65,0.35,0.65,0.4,0.6,0.4,0.6, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
59,15,1,94311,1,10,7.01,4.5,9.51,4.5,,,,,,,,,
60,16,1,94311,1,10,9.51,4.5,9.51,4.5,,,,,,,,,
61,17,1,65862,1,2,9.51,4.5,9.51,6.17,,,,,,,,,
62,18,1,65862,1,6,9.51,6.17,9.51,6.17,,,,,,,,,
63,19,1,94311,1,1,9.51,6.17,12.01,6.17,,,,,,,,,
64,20,1,94311,1,10,12.01,6.17,12.01,6.17,,,,,,,,,
65,21,1,65862,0,2,12.01,6.17,12.01,6.17,,,,,,,,,
66,22,1,65862,0,3,12.01,6.17,12.01,6.17,,,,,,,,,
67,23,1,65862,1,3,12.01,6.17,12.01,7.84,,,,,,,,,
68,24,1,65862,0,9,12.01,6.17,12.01,7.84,0.29,0.71,0.38,0.62,0.2,0.8,0.4,0.6, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 1
69,25,1,94311,1,1,12.01,6.17,14.51,7.84,,,,,,,,,
70,26,1,94311,1,10,17.01,6.17,14.51,7.84,,,,,,,,,
71,27,1,65862,1,5,17.01,6.17,14.51,9.51,,,,,,,,,
72,28,1,65862,1,5,17.01,7.42,14.51,9.51,,,,,,,,,
73,29,1,94311,1,1,17.01,7.42,17.01,9.51,,,,,,,,,
74,30,1,65862,1,7,17.01,8.67,17.01,9.51,,,,,,,,,
75,31,1,65862,0,5,17.01,8.67,17.01,9.51,,,,,,,,,
76,32,1,65862,1,10,17.01,9.92,17.01,9.51,,,,,,,,,
77,33,1,65862,1,10,17.01,9.92,17.01,11.18,,,,,,,,,
78,34,1,65862,1,10,17.01,11.17,17.01,11.18,0.33,0.67,0.33,0.67,0.4,0.6,0.4,0.6, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
79,35,1,94311,1,10,17.01,11.17,19.51,11.18,,,,,,,,,
80,36,1,94311,1,10,19.51,11.17,19.51,11.18,,,,,,,,,
81,37,1,65862,1,10,19.51,11.17,19.51,12.85,,,,,,,,,
82,38,1,65862,0,5,19.51,11.17,19.51,12.85,,,,,,,,,
83,39,1,94311,1,1,19.51,11.17,22.01,12.85,,,,,,,,,
84,40,1,94311,1,10,22.01,11.17,22.01,12.85,,,,,,,,,
85,41,1,65862,1,2,22.01,11.17,22.01,14.52,,,,,,,,,
86,42,1,65862,0,2,22.01,11.17,22.01,14.52,,,,,,,,,
87,43,1,65862,0,2,22.01,11.17,22.01,14.52,,,,,,,,,
88,44,1,65862,0,4,22.01,11.17,22.01,14.52,,,,,,,,,
