gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 cea6fcb0-d0bc-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 08:41:35 GMT-0700 (Pacific Daylight Time),99391, USA,83356,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,99391,1,10,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,99391,0,10,2,0,-,-,,,,,,,,,
3,3,0,83356,0,3,2,0,-,-,,,,,,,,,
4,4,0,83356,0,4,2,0,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
5,5,0,99391,1,1,4.5,0,-,-,,,,,,,,,
6,6,0,99391,0,8,4.5,0,-,-,,,,,,,,,
7,7,0,83356,1,9,4.5,1.67,-,-,,,,,,,,,
8,8,0,83356,0,7,4.5,1.67,-,-,,,,,,,,,
9,9,0,99391,1,6,7,1.67,-,-,,,,,,,,,
10,10,0,99391,0,4,7,1.67,-,-,,,,,,,,,
11,11,0,83356,1,7,7,3.34,-,-,,,,,,,,,
12,12,0,83356,0,4,7,3.34,-,-,,,,,,,,,
13,13,0,83356,1,4,7,5.01,-,-,,,,,,,,,
14,14,0,83356,0,8,7,5.01,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,99391,1,6,9.5,5.01,-,-,,,,,,,,,
16,16,0,99391,0,8,9.5,5.01,-,-,,,,,,,,,
17,17,0,83356,1,3,9.5,6.68,-,-,,,,,,,,,
