gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 e1f96dc0-d0bc-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 08:42:07 GMT-0700 (Pacific Daylight Time),94311, USA,62226,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,94311,0,3,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,94311,1,2,2,0,-,-,,,,,,,,,
3,3,0,62226,1,3,2,2,-,-,,,,,,,,,
4,4,0,62226,0,2,2,2,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,94311,0,3,2,2,-,-,,,,,,,,,
6,6,0,94311,1,3,3.67,2,-,-,,,,,,,,,
7,7,0,62226,1,2,3.67,4.5,-,-,,,,,,,,,
8,8,0,62226,0,2,3.67,4.5,-,-,,,,,,,,,
9,9,0,94311,0,3,3.67,4.5,-,-,,,,,,,,,
10,10,0,94311,1,2,5.34,4.5,-,-,,,,,,,,,
11,11,0,62226,0,3,5.34,4.5,-,-,,,,,,,,,
12,12,0,62226,0,2,5.34,4.5,-,-,,,,,,,,,
13,13,0,94311,0,3,5.34,4.5,-,-,,,,,,,,,
14,14,0,94311,1,10,7.01,4.5,-,-,0.35,0.65,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,94311,1,3,9.51,4.5,-,-,,,,,,,,,
16,16,0,94311,1,2,12.01,4.5,-,-,,,,,,,,,
17,17,0,62226,0,9,12.01,4.5,-,-,,,,,,,,,
