gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,,,,,,,,,,
 a246c2d0-d0c2-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 09:23:17 GMT-0700 (Pacific Daylight Time),25609, USA,79371,  INDIA, False, True ,,,,,,,,,,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns ,,,,,,,,,
1,1,0,25609,1,10,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1,,,,,,,,,
2,2,0,25609,1,10,4,0,-,-,,,,,,,,,,,,,,,,,,
3,3,0,79371,1,6,4,2,-,-,,,,,,,,,,,,,,,,,,
4,4,0,79371,0,3,4,2,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1,,,,,,,,,
5,5,0,25609,1,10,6.5,2,-,-,,,,,,,,,,,,,,,,,,
6,6,0,25609,1,10,9,2,-,-,,,,,,,,,,,,,,,,,,
7,7,0,79371,1,6,9,3.67,-,-,,,,,,,,,,,,,,,,,,
8,8,0,79371,0,5,9,3.67,-,-,,,,,,,,,,,,,,,,,,
9,9,0,25609,1,10,11.5,3.67,-,-,,,,,,,,,,,,,,,,,,
10,10,0,25609,1,10,14,3.67,-,-,,,,,,,,,,,,,,,,,,
11,11,0,79371,1,2,14,5.34,-,-,,,,,,,,,,,,,,,,,,
12,12,0,79371,0,3,14,5.34,-,-,,,,,,,,,,,,,,,,,,
13,13,0,79371,1,6,14,7.01,-,-,,,,,,,,,,,,,,,,,,
14,14,0,79371,0,6,14,7.01,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1,,,,,,,,,
15,15,0,25609,1,10,16.5,7.01,-,-,,,,,,,,,,,,,,,,,,
16,16,0,25609,1,10,19,7.01,-,-,,,,,,,,,,,,,,,,,,
17,17,0,79371,1,8,19,8.68,-,-,,,,,,,,,,,,,,,,,,
18,18,0,79371,0,5,19,8.68,-,-,,,,,,,,,,,,,,,,,,
