gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 aa260070-d0c6-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 09:52:08 GMT-0700 (Pacific Daylight Time),26619, USA,49388,  INDIA, False, True ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,26619,1,10,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
2,2,0,26619,1,8,4,0,-,-,,,,,,,,,
3,3,0,49388,1,1,4,2,-,-,,,,,,,,,
4,4,0,49388,1,10,4,4,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,26619,0,4,4,4,-,-,,,,,,,,,
6,6,0,26619,1,7,5.67,4,-,-,,,,,,,,,
7,7,0,49388,1,2,5.67,6.5,-,-,,,,,,,,,
8,8,0,49388,0,6,5.67,6.5,-,-,,,,,,,,,
9,9,0,26619,0,3,5.67,6.5,-,-,,,,,,,,,
10,10,0,26619,0,4,5.67,6.5,-,-,,,,,,,,,
11,11,0,49388,1,3,5.67,9,-,-,,,,,,,,,
12,12,0,49388,0,4,5.67,9,-,-,,,,,,,,,
13,13,0,26619,1,1,7.34,9,-,-,,,,,,,,,
14,14,0,26619,1,3,9.01,9,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
15,15,0,26619,0,5,9.01,9,-,-,,,,,,,,,
16,16,0,26619,1,2,10.68,9,-,-,,,,,,,,,
17,17,0,49388,0,3,10.68,9,-,-,,,,,,,,,
18,18,0,49388,1,10,10.68,11.5,-,-,,,,,,,,,
19,19,0,26619,1,10,12.35,11.5,-,-,,,,,,,,,
20,20,0,26619,1,5,14.02,11.5,-,-,,,,,,,,,
21,21,0,49388,1,5,14.02,14,-,-,,,,,,,,,
22,22,0,49388,0,8,14.02,14,-,-,,,,,,,,,
23,23,0,26619,0,6,14.02,14,-,-,,,,,,,,,
24,24,0,26619,0,2,14.02,14,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
25,25,0,26619,0,3,14.02,14,-,-,,,,,,,,,
26,26,0,26619,1,2,15.69,14,-,-,,,,,,,,,
27,27,0,49388,1,2,15.69,16.5,-,-,,,,,,,,,
28,28,0,49388,0,4,15.69,16.5,-,-,,,,,,,,,
29,29,0,26619,0,7,15.69,16.5,-,-,,,,,,,,,
30,30,0,26619,1,2,17.36,16.5,-,-,,,,,,,,,
31,31,0,49388,1,2,17.36,19,-,-,,,,,,,,,
32,32,0,49388,1,10,17.36,21.5,-,-,,,,,,,,,
33,33,0,26619,0,6,17.36,21.5,-,-,,,,,,,,,
34,34,0,26619,1,4,19.03,21.5,-,-,0.65,0.35,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
35,35,0,26619,1,3,20.7,21.5,-,-,,,,,,,,,
36,36,0,26619,1,3,22.37,21.5,-,-,,,,,,,,,
37,37,0,49388,1,2,22.37,24,-,-,,,,,,,,,
38,38,0,49388,1,7,22.37,26.5,-,-,,,,,,,,,
39,39,0,26619,1,2,24.04,26.5,-,-,,,,,,,,,
40,40,0,26619,0,2,24.04,26.5,-,-,,,,,,,,,
41,41,0,49388,1,2,24.04,29,-,-,,,,,,,,,
42,42,0,49388,0,4,24.04,29,-,-,,,,,,,,,
43,43,0,26619,0,4,24.04,29,-,-,,,,,,,,,
44,44,0,26619,1,3,25.71,29,-,-,,,,,,,,,
45,1,1,26619,0,7,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
46,2,1,26619,1,4,2,0,0,0,,,,,,,,,
47,3,1,49388,1,2,2,0,0,2,,,,,,,,,
48,4,1,49388,0,3,2,0,0,2,0.38,0.62,0.62,0.38,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
49,5,1,26619,1,1,2,0,1.67,2,,,,,,,,,
50,6,1,26619,1,2,4.5,0,1.67,2,,,,,,,,,
51,7,1,49388,0,2,4.5,0,1.67,2,,,,,,,,,
52,8,1,49388,1,1,4.5,1.67,1.67,2,,,,,,,,,
53,9,1,26619,0,6,4.5,1.67,1.67,2,,,,,,,,,
54,10,1,26619,1,2,7,1.67,1.67,2,,,,,,,,,
55,11,1,49388,1,2,7,1.67,1.67,4.5,,,,,,,,,
56,12,1,49388,1,2,7,3.34,1.67,4.5,,,,,,,,,
57,13,1,26619,0,2,7,3.34,1.67,4.5,,,,,,,,,
58,14,1,49388,0,9,7,3.34,1.67,4.5,0.29,0.71,0.67,0.33,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1
59,15,1,26619,1,10,7,3.34,3.34,4.5,,,,,,,,,
60,16,1,26619,0,2,7,3.34,3.34,4.5,,,,,,,,,
61,17,1,49388,1,2,7,3.34,3.34,7,,,,,,,,,
62,18,1,49388,1,4,7,4.59,3.34,7,,,,,,,,,
63,19,1,26619,0,6,7,4.59,3.34,7,,,,,,,,,
64,20,1,49388,0,3,7,4.59,3.34,7,,,,,,,,,
65,21,1,49388,1,2,7,4.59,3.34,9.5,,,,,,,,,
66,22,1,49388,1,5,7,5.84,3.34,9.5,,,,,,,,,
67,23,1,26619,1,2,7,5.84,5.01,9.5,,,,,,,,,
68,24,1,49388,1,1,7,7.09,5.01,9.5,0.51,0.49,0.75,0.25,0.6,0.4,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0
69,25,1,26619,0,1,7,7.09,5.01,9.5,,,,,,,,,
70,26,1,26619,1,2,8.67,7.09,5.01,9.5,,,,,,,,,
71,27,1,49388,1,1,8.67,7.09,5.01,14.5,,,,,,,,,
72,28,1,49388,0,10,8.67,7.09,5.01,14.5,,,,,,,,,
73,29,1,26619,0,3,8.67,7.09,5.01,14.5,,,,,,,,,
74,30,1,26619,1,5,10.34,7.09,5.01,14.5,,,,,,,,,
75,31,1,26619,1,3,10.34,7.09,6.26,14.5,,,,,,,,,
76,32,1,49388,0,9,10.34,7.09,6.26,14.5,,,,,,,,,
77,33,1,26619,0,8,10.34,7.09,6.26,14.5,,,,,,,,,
78,34,1,26619,1,3,12.01,7.09,6.26,14.5,0.23,0.77,0.89,0.11,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
79,35,1,26619,0,4,12.01,7.09,6.26,14.5,,,,,,,,,
80,36,1,26619,0,4,12.01,7.09,6.26,14.5,,,,,,,,,
81,37,1,49388,1,2,12.01,7.09,6.26,19.5,,,,,,,,,
82,38,1,49388,1,4,12.01,8.34,6.26,19.5,,,,,,,,,
83,39,1,26619,0,4,12.01,8.34,6.26,19.5,,,,,,,,,
84,40,1,49388,0,3,12.01,8.34,6.26,19.5,,,,,,,,,
85,41,1,26619,1,1,12.01,8.34,7.51,19.5,,,,,,,,,
86,42,1,49388,0,6,12.01,8.34,7.51,19.5,,,,,,,,,
87,43,1,26619,0,3,12.01,8.34,7.51,19.5,,,,,,,,,
88,44,1,49388,0,5,12.01,8.34,7.51,19.5,,,,,,,,,
