gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 75757cc0-d17a-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:19:09 GMT-0700 (Pacific Daylight Time),27570, USA,12809,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,27570,0,4,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,27570,1,10,2,0,0,0,,,,,,,,,
3,3,0,12809,1,6,2,0,0,2,,,,,,,,,
4,4,0,12809,0,10,2,0,0,2,0.38,0.62,0.62,0.38,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
5,5,0,27570,0,3,2,0,0,2,,,,,,,,,
6,6,0,27570,0,8,2,0,0,2,,,,,,,,,
7,7,0,12809,0,9,2,0,0,2,,,,,,,,,
8,8,0,12809,0,4,2,0,0,2,,,,,,,,,
9,9,0,27570,0,3,2,0,0,2,,,,,,,,,
10,10,0,27570,0,5,2,0,0,2,,,,,,,,,
11,11,0,12809,1,6,2,0,0,4.5,,,,,,,,,
12,12,0,12809,0,9,2,0,0,4.5,,,,,,,,,
13,13,0,27570,0,2,2,0,0,4.5,,,,,,,,,
14,14,0,12809,0,4,2,0,0,4.5,0.38,0.62,0.75,0.25,0.4,0.6,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1
15,15,0,27570,0,3,2,0,0,4.5,,,,,,,,,
16,16,0,27570,1,6,4.5,0,0,4.5,,,,,,,,,
17,17,0,12809,1,6,4.5,0,0,9.5,,,,,,,,,
18,18,0,12809,1,8,4.5,1.67,0,9.5,,,,,,,,,
19,19,0,27570,0,4,4.5,1.67,0,9.5,,,,,,,,,
20,20,0,27570,1,6,7,1.67,0,9.5,,,,,,,,,
21,21,0,27570,0,4,7,1.67,0,9.5,,,,,,,,,
22,22,0,12809,0,7,7,1.67,0,9.5,,,,,,,,,
23,23,0,27570,0,5,7,1.67,0,9.5,,,,,,,,,
24,24,0,12809,0,4,7,1.67,0,9.5,0.21,0.79,0.91,0.09,0.2,0.8,0.99,0.01, 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
25,25,0,27570,0,2,7,1.67,0,9.5,,,,,,,,,
26,26,0,27570,1,4,12,1.67,0,9.5,,,,,,,,,
27,27,0,27570,0,2,12,1.67,0,9.5,,,,,,,,,
28,28,0,12809,0,3,12,1.67,0,9.5,,,,,,,,,
29,29,0,27570,0,2,12,1.67,0,9.5,,,,,,,,,
30,30,0,12809,1,7,12,2.92,0,9.5,,,,,,,,,
31,31,0,27570,0,3,12,2.92,0,9.5,,,,,,,,,
32,32,0,12809,1,1,12,4.17,0,9.5,,,,,,,,,
33,33,0,27570,0,5,12,4.17,0,9.5,,,,,,,,,
34,34,0,12809,1,9,12,5.42,0,9.5,0.16,0.84,0.91,0.09,0.2,0.8,0.99,0.01, 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
35,35,0,27570,0,4,12,5.42,0,9.5,,,,,,,,,
36,36,0,27570,0,5,12,5.42,0,9.5,,,,,,,,,
37,37,0,27570,0,6,12,5.42,0,9.5,,,,,,,,,
38,38,0,12809,0,7,12,5.42,0,9.5,,,,,,,,,
39,39,0,27570,0,3,12,5.42,0,9.5,,,,,,,,,
