gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 78471350-d17a-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:19:14 GMT-0700 (Pacific Daylight Time),84521, USA,10371,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,84521,1,7,0,0,2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,84521,0,4,0,0,2,0,,,,,,,,,
3,3,0,10371,1,5,0,0,2,2,,,,,,,,,
4,4,0,10371,0,4,0,0,2,2,0.5,0.5,0.5,0.5,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,84521,0,2,0,0,2,2,,,,,,,,,
6,6,0,84521,1,2,1.67,0,2,2,,,,,,,,,
7,7,0,10371,1,3,1.67,0,2,4.5,,,,,,,,,
8,8,0,10371,0,3,1.67,0,2,4.5,,,,,,,,,
9,9,0,84521,0,3,1.67,0,2,4.5,,,,,,,,,
10,10,0,84521,1,2,3.34,0,2,4.5,,,,,,,,,
11,11,0,10371,1,3,3.34,0,2,7,,,,,,,,,
12,12,0,10371,1,2,3.34,2.5,2,7,,,,,,,,,
13,13,0,84521,0,2,3.34,2.5,2,7,,,,,,,,,
14,14,0,84521,1,2,5.01,2.5,2,7,0.35,0.65,0.78,0.22,0.4,0.6,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1
15,15,0,84521,1,2,5.01,2.5,3.25,7,,,,,,,,,
16,16,0,84521,1,3,7.51,2.5,3.25,7,,,,,,,,,
17,17,0,10371,0,6,7.51,2.5,3.25,7,,,,,,,,,
18,18,0,10371,1,2,7.51,4.17,3.25,7,,,,,,,,,
19,19,0,84521,1,2,7.51,4.17,4.5,7,,,,,,,,,
20,20,0,84521,1,2,10.01,4.17,4.5,7,,,,,,,,,
21,21,0,84521,1,2,10.01,4.17,5.75,7,,,,,,,,,
22,22,0,10371,1,3,10.01,5.84,5.75,7,,,,,,,,,
23,23,0,84521,0,4,10.01,5.84,5.75,7,,,,,,,,,
24,24,0,10371,0,2,10.01,5.84,5.75,7,0.26,0.74,0.58,0.42,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1
25,25,0,84521,1,2,10.01,5.84,7.42,7,,,,,,,,,
26,26,0,84521,1,2,15.01,5.84,7.42,7,,,,,,,,,
27,27,0,10371,1,7,15.01,5.84,7.42,9.5,,,,,,,,,
28,28,0,10371,1,2,15.01,7.09,7.42,9.5,,,,,,,,,
29,29,0,84521,1,2,15.01,7.09,9.09,9.5,,,,,,,,,
30,30,0,10371,0,7,15.01,7.09,9.09,9.5,,,,,,,,,
31,31,0,10371,1,2,15.01,7.09,9.09,12,,,,,,,,,
32,32,0,10371,0,8,15.01,7.09,9.09,12,,,,,,,,,
33,33,0,84521,1,2,15.01,7.09,10.76,12,,,,,,,,,
34,34,0,10371,1,2,15.01,8.34,10.76,12,0.16,0.84,0.58,0.42,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1
35,35,0,84521,0,3,15.01,8.34,10.76,12,,,,,,,,,
36,36,0,84521,0,2,15.01,8.34,10.76,12,,,,,,,,,
37,37,0,10371,0,9,15.01,8.34,10.76,12,,,,,,,,,
38,38,0,10371,1,2,15.01,9.59,10.76,12,,,,,,,,,
39,39,0,84521,0,3,15.01,9.59,10.76,12,,,,,,,,,
40,40,0,10371,0,2,15.01,9.59,10.76,12,,,,,,,,,
41,41,0,10371,1,3,15.01,9.59,10.76,14.5,,,,,,,,,
42,42,0,10371,0,3,15.01,9.59,10.76,14.5,,,,,,,,,
43,43,0,84521,1,2,15.01,9.59,12.43,14.5,,,,,,,,,
44,44,0,10371,1,4,15.01,10.84,12.43,14.5,,,,,,,,,
45,1,1,84521,1,3,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,84521,1,3,4,0,-,-,,,,,,,,,
47,3,1,10371,1,7,4,2,-,-,,,,,,,,,
48,4,1,10371,0,3,4,2,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
49,5,1,84521,1,2,6.5,2,-,-,,,,,,,,,
50,6,1,84521,0,2,6.5,2,-,-,,,,,,,,,
51,7,1,10371,0,10,6.5,2,-,-,,,,,,,,,
52,8,1,10371,1,6,6.5,3.67,-,-,,,,,,,,,
53,9,1,84521,1,3,9,3.67,-,-,,,,,,,,,
54,10,1,84521,1,3,11.5,3.67,-,-,,,,,,,,,
55,11,1,10371,1,1,11.5,5.34,-,-,,,,,,,,,
56,12,1,10371,0,6,11.5,5.34,-,-,,,,,,,,,
57,13,1,10371,0,5,11.5,5.34,-,-,,,,,,,,,
58,14,1,10371,1,3,11.5,7.01,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
59,15,1,84521,0,3,11.5,7.01,-,-,,,,,,,,,
60,16,1,84521,1,3,14,7.01,-,-,,,,,,,,,
61,17,1,10371,0,5,14,7.01,-,-,,,,,,,,,
62,18,1,10371,0,4,14,7.01,-,-,,,,,,,,,
63,19,1,84521,1,3,16.5,7.01,-,-,,,,,,,,,
64,20,1,84521,1,3,19,7.01,-,-,,,,,,,,,
65,21,1,10371,1,5,19,8.68,-,-,,,,,,,,,
66,22,1,10371,1,7,19,10.35,-,-,,,,,,,,,
67,23,1,10371,1,3,19,12.02,-,-,,,,,,,,,
68,24,1,10371,0,10,19,12.02,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
69,25,1,10371,0,3,19,12.02,-,-,,,,,,,,,
70,26,1,84521,0,3,19,12.02,-,-,,,,,,,,,
71,27,1,10371,1,2,19,13.69,-,-,,,,,,,,,
72,28,1,10371,1,2,19,15.36,-,-,,,,,,,,,
73,29,1,84521,1,2,21.5,15.36,-,-,,,,,,,,,
74,30,1,84521,1,2,24,15.36,-,-,,,,,,,,,
75,31,1,10371,0,2,24,15.36,-,-,,,,,,,,,
76,32,1,10371,0,3,24,15.36,-,-,,,,,,,,,
77,33,1,10371,0,2,24,15.36,-,-,,,,,,,,,
78,34,1,10371,1,4,24,17.03,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
79,35,1,84521,0,3,24,17.03,-,-,,,,,,,,,
80,36,1,84521,1,2,26.5,17.03,-,-,,,,,,,,,
81,37,1,10371,1,2,26.5,18.7,-,-,,,,,,,,,
82,38,1,10371,0,3,26.5,18.7,-,-,,,,,,,,,
83,39,1,84521,1,3,29,18.7,-,-,,,,,,,,,
84,40,1,84521,1,3,31.5,18.7,-,-,,,,,,,,,
85,41,1,10371,1,3,31.5,20.37,-,-,,,,,,,,,
86,42,1,10371,0,4,31.5,20.37,-,-,,,,,,,,,
87,43,1,10371,0,4,31.5,20.37,-,-,,,,,,,,,
88,44,1,10371,0,3,31.5,20.37,-,-,,,,,,,,,
