gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 9bfb1710-d17a-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:20:14 GMT-0700 (Pacific Daylight Time),82312, USA,35838,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,82312,0,6,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,82312,1,10,2,0,0,0,,,,,,,,,
3,3,0, A3T620WM2TEE47,1,10,2,0,0,2,,,,,,,,,
4,4,0, A3T620WM2TEE47,1,10,2,2,0,2,0.5,0.5,0.62,0.38,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,82312,0,8,2,2,0,2,,,,,,,,,
6,6,0,82312,1,8,3.67,2,0,2,,,,,,,,,
7,7,0, A3T620WM2TEE47,1,10,3.67,2,0,4.5,,,,,,,,,
8,8,0, A3T620WM2TEE47,1,10,3.67,4.5,0,4.5,,,,,,,,,
9,9,0,82312,0,5,3.67,4.5,0,4.5,,,,,,,,,
10,10,0,82312,1,6,5.34,4.5,0,4.5,,,,,,,,,
11,11,0, A3T620WM2TEE47,1,10,5.34,4.5,0,7,,,,,,,,,
12,12,0, A3T620WM2TEE47,1,10,5.34,7,0,7,,,,,,,,,
13,13,0,82312,0,5,5.34,7,0,7,,,,,,,,,
14,14,0,82312,1,4,7.01,7,0,7,0.49,0.51,0.85,0.15,0.4,0.6,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1
15,15,0,82312,0,3,7.01,7,0,7,,,,,,,,,
16,16,0,82312,1,5,9.51,7,0,7,,,,,,,,,
17,17,0, A3T620WM2TEE47,1,3,9.51,7,0,12,,,,,,,,,
18,18,0, A3T620WM2TEE47,1,4,9.51,8.67,0,12,,,,,,,,,
19,19,0,82312,0,6,9.51,8.67,0,12,,,,,,,,,
20,20,0,82312,1,7,12.01,8.67,0,12,,,,,,,,,
21,21,0,82312,0,3,12.01,8.67,0,12,,,,,,,,,
22,22,0, A3T620WM2TEE47,0,4,12.01,8.67,0,12,,,,,,,,,
23,23,0,82312,0,3,12.01,8.67,0,12,,,,,,,,,
24,24,0, A3T620WM2TEE47,0,3,12.01,8.67,0,12,0.3,0.7,0.95,0.05,0.4,0.6,0.99,0.01, 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1
25,25,0,82312,0,3,12.01,8.67,0,12,,,,,,,,,
26,26,0,82312,1,3,14.51,8.67,0,12,,,,,,,,,
27,27,0,82312,0,2,14.51,8.67,0,12,,,,,,,,,
28,28,0, A3T620WM2TEE47,0,4,14.51,8.67,0,12,,,,,,,,,
29,29,0,82312,0,3,14.51,8.67,0,12,,,,,,,,,
