gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 d901d7b0-d17b-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:29:06 GMT-0700 (Pacific Daylight Time),87843, USA,50726,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,87843,0,9,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,87843,1,10,2,0,0,0,,,,,,,,,
3,3,0,50726,0,4,2,0,0,0,,,,,,,,,
4,4,0,50726,0,2,2,0,0,0,0.38,0.62,0.5,0.5,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
5,5,0,87843,0,9,2,0,0,0,,,,,,,,,
6,6,0,87843,1,5,4.5,0,0,0,,,,,,,,,
7,7,0,50726,1,3,4.5,0,0,2.5,,,,,,,,,
8,8,0,50726,0,3,4.5,0,0,2.5,,,,,,,,,
9,9,0,87843,0,8,4.5,0,0,2.5,,,,,,,,,
10,10,0,87843,1,4,7,0,0,2.5,,,,,,,,,
11,11,0,50726,0,3,7,0,0,2.5,,,,,,,,,
12,12,0,50726,0,2,7,0,0,2.5,,,,,,,,,
13,13,0,87843,0,3,7,0,0,2.5,,,,,,,,,
14,14,0,50726,0,3,7,0,0,2.5,0.15,0.85,0.65,0.35,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1
15,15,0,87843,0,5,7,0,0,2.5,,,,,,,,,
16,16,0,87843,1,10,12,0,0,2.5,,,,,,,,,
17,17,0,50726,1,3,12,0,0,5,,,,,,,,,
18,18,0,50726,0,4,12,0,0,5,,,,,,,,,
19,19,0,87843,0,7,12,0,0,5,,,,,,,,,
20,20,0,50726,0,2,12,0,0,5,,,,,,,,,
21,21,0,50726,1,4,12,0,0,7.5,,,,,,,,,
22,22,0,50726,0,3,12,0,0,7.5,,,,,,,,,
23,23,0,87843,0,5,12,0,0,7.5,,,,,,,,,
24,24,0,50726,0,3,12,0,0,7.5,0.05,0.95,0.87,0.13,0.01,0.99,0.8,0.2, 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
25,25,0,87843,0,5,12,0,0,7.5,,,,,,,,,
26,26,0,50726,0,6,12,0,0,7.5,,,,,,,,,
27,27,0,50726,1,5,12,0,0,12.5,,,,,,,,,
28,28,0,50726,0,2,12,0,0,12.5,,,,,,,,,
29,29,0,87843,0,6,12,0,0,12.5,,,,,,,,,
30,30,0,50726,0,4,12,0,0,12.5,,,,,,,,,
31,31,0,87843,0,4,12,0,0,12.5,,,,,,,,,
32,32,0,50726,0,2,12,0,0,12.5,,,,,,,,,
33,33,0,87843,0,7,12,0,0,12.5,,,,,,,,,
34,34,0,50726,0,4,12,0,0,12.5,0.05,0.95,0.96,0.04,0.01,0.99,0.99,0.01, 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
35,35,0,87843,1,6,12,0,1.01,12.5,,,,,,,,,
36,36,0,50726,0,3,12,0,1.01,12.5,,,,,,,,,
37,37,0,87843,0,7,12,0,1.01,12.5,,,,,,,,,
38,38,0,50726,0,3,12,0,1.01,12.5,,,,,,,,,
39,39,0,87843,1,4,12,0,2.02,12.5,,,,,,,,,
40,40,0,50726,0,3,12,0,2.02,12.5,,,,,,,,,
41,41,0,87843,0,4,12,0,2.02,12.5,,,,,,,,,
42,42,0,50726,0,3,12,0,2.02,12.5,,,,,,,,,
43,43,0,87843,0,4,12,0,2.02,12.5,,,,,,,,,
44,44,0,50726,0,4,12,0,2.02,12.5,,,,,,,,,
45,1,1,87843,0,5,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,87843,1,6,2,0,-,-,,,,,,,,,
47,3,1,50726,1,3,2,2,-,-,,,,,,,,,
48,4,1,50726,0,2,2,2,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,87843,0,5,2,2,-,-,,,,,,,,,
50,6,1,87843,1,3,3.67,2,-,-,,,,,,,,,
51,7,1,50726,0,3,3.67,2,-,-,,,,,,,,,
52,8,1,50726,0,4,3.67,2,-,-,,,,,,,,,
53,9,1,87843,0,3,3.67,2,-,-,,,,,,,,,
54,10,1,87843,1,2,5.34,2,-,-,,,,,,,,,
55,11,1,50726,1,3,5.34,4.5,-,-,,,,,,,,,
56,12,1,50726,0,4,5.34,4.5,-,-,,,,,,,,,
57,13,1,87843,0,3,5.34,4.5,-,-,,,,,,,,,
58,14,1,87843,1,4,7.01,4.5,-,-,0.35,0.65,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
59,15,1,50726,1,3,7.01,6.17,-,-,,,,,,,,,
60,16,1,87843,1,3,9.51,6.17,-,-,,,,,,,,,
61,17,1,50726,1,2,9.51,7.84,-,-,,,,,,,,,
62,18,1,50726,0,3,9.51,7.84,-,-,,,,,,,,,
63,19,1,87843,0,4,9.51,7.84,-,-,,,,,,,,,
64,20,1,87843,1,3,12.01,7.84,-,-,,,,,,,,,
65,21,1,50726,1,3,12.01,9.51,-,-,,,,,,,,,
66,22,1,50726,0,4,12.01,9.51,-,-,,,,,,,,,
67,23,1,50726,0,4,12.01,9.51,-,-,,,,,,,,,
68,24,1,50726,0,2,12.01,9.51,-,-,0.35,0.65,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
69,25,1,50726,1,3,12.01,11.18,-,-,,,,,,,,,
70,26,1,87843,1,3,14.51,11.18,-,-,,,,,,,,,
71,27,1,50726,0,4,14.51,11.18,-,-,,,,,,,,,
72,28,1,50726,0,3,14.51,11.18,-,-,,,,,,,,,
73,29,1,87843,0,6,14.51,11.18,-,-,,,,,,,,,
74,30,1,87843,1,2,17.01,11.18,-,-,,,,,,,,,
75,31,1,50726,1,4,17.01,12.85,-,-,,,,,,,,,
76,32,1,50726,0,2,17.01,12.85,-,-,,,,,,,,,
77,33,1,50726,0,2,17.01,12.85,-,-,,,,,,,,,
78,34,1,50726,0,5,17.01,12.85,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
79,35,1,87843,0,4,17.01,12.85,-,-,,,,,,,,,
80,36,1,87843,0,3,17.01,12.85,-,-,,,,,,,,,
81,37,1,50726,1,3,17.01,14.52,-,-,,,,,,,,,
82,38,1,50726,0,3,17.01,14.52,-,-,,,,,,,,,
83,39,1,87843,1,3,19.51,14.52,-,-,,,,,,,,,
84,40,1,87843,1,3,22.01,14.52,-,-,,,,,,,,,
85,41,1,50726,1,3,22.01,16.19,-,-,,,,,,,,,
86,42,1,50726,0,2,22.01,16.19,-,-,,,,,,,,,
87,43,1,50726,1,4,22.01,17.86,-,-,,,,,,,,,
88,44,1,50726,0,2,22.01,17.86,-,-,,,,,,,,,
