gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 637e6b10-d17c-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:32:58 GMT-0700 (Pacific Daylight Time),78497, USA,97795,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,78497,1,10,0,0,2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,78497,1,4,2,0,2,0,,,,,,,,,
3,3,0,97795,1,1,2,0,2,2,,,,,,,,,
4,4,0,97795,0,3,2,0,2,2,0.38,0.62,0.5,0.5,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
5,5,0,78497,0,7,2,0,2,2,,,,,,,,,
6,6,0,78497,1,3,4.5,0,2,2,,,,,,,,,
7,7,0,97795,1,4,4.5,0,2,4.5,,,,,,,,,
8,8,0,97795,1,5,4.5,1.67,2,4.5,,,,,,,,,
9,9,0,78497,0,4,4.5,1.67,2,4.5,,,,,,,,,
10,10,0,78497,0,6,4.5,1.67,2,4.5,,,,,,,,,
11,11,0,97795,1,4,4.5,1.67,2,7,,,,,,,,,
12,12,0,97795,0,3,4.5,1.67,2,7,,,,,,,,,
13,13,0,78497,0,8,4.5,1.67,2,7,,,,,,,,,
14,14,0,97795,0,4,4.5,1.67,2,7,0.33,0.67,0.78,0.22,0.4,0.6,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1
15,15,0,78497,1,4,4.5,1.67,3.25,7,,,,,,,,,
16,16,0,78497,1,4,7,1.67,3.25,7,,,,,,,,,
17,17,0,97795,0,3,7,1.67,3.25,7,,,,,,,,,
18,18,0,97795,1,3,7,3.34,3.25,7,,,,,,,,,
19,19,0,78497,1,3,7,3.34,4.5,7,,,,,,,,,
20,20,0,78497,0,3,7,3.34,4.5,7,,,,,,,,,
21,21,0,78497,0,7,7,3.34,4.5,7,,,,,,,,,
22,22,0,97795,0,6,7,3.34,4.5,7,,,,,,,,,
23,23,0,78497,1,5,7,3.34,5.75,7,,,,,,,,,
24,24,0,97795,0,6,7,3.34,5.75,7,0.29,0.71,0.58,0.42,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1
25,25,0,78497,1,1,7,3.34,7.42,7,,,,,,,,,
26,26,0,78497,0,3,7,3.34,7.42,7,,,,,,,,,
27,27,0,97795,1,9,7,3.34,7.42,9.5,,,,,,,,,
28,28,0,97795,0,3,7,3.34,7.42,9.5,,,,,,,,,
29,29,0,78497,1,1,7,3.34,9.09,9.5,,,,,,,,,
30,30,0,97795,0,9,7,3.34,9.09,9.5,,,,,,,,,
31,31,0,97795,1,3,7,3.34,9.09,12,,,,,,,,,
32,32,0,97795,0,2,7,3.34,9.09,12,,,,,,,,,
33,33,0,78497,1,6,7,3.34,10.76,12,,,,,,,,,
34,34,0,97795,0,3,7,3.34,10.76,12,0.29,0.71,0.58,0.42,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1
35,35,0,78497,1,2,7,3.34,12.43,12,,,,,,,,,
36,36,0,78497,0,2,7,3.34,12.43,12,,,,,,,,,
37,37,0,97795,0,3,7,3.34,12.43,12,,,,,,,,,
38,38,0,97795,1,5,7,4.59,12.43,12,,,,,,,,,
39,39,0,78497,1,1,7,4.59,14.1,12,,,,,,,,,
40,40,0,97795,0,4,7,4.59,14.1,12,,,,,,,,,
41,41,0,97795,1,3,7,4.59,14.1,14.5,,,,,,,,,
42,42,0,97795,0,4,7,4.59,14.1,14.5,,,,,,,,,
43,43,0,78497,1,1,7,4.59,15.77,14.5,,,,,,,,,
44,44,0,97795,0,8,7,4.59,15.77,14.5,,,,,,,,,
45,1,1,78497,0,9,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,78497,1,5,2,0,-,-,,,,,,,,,
47,3,1,97795,1,7,2,2,-,-,,,,,,,,,
48,4,1,97795,0,7,2,2,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,78497,0,6,2,2,-,-,,,,,,,,,
50,6,1,78497,0,2,2,2,-,-,,,,,,,,,
51,7,1,97795,1,9,2,4.5,-,-,,,,,,,,,
52,8,1,97795,0,3,2,4.5,-,-,,,,,,,,,
53,9,1,78497,1,8,3.67,4.5,-,-,,,,,,,,,
54,10,1,78497,1,2,5.34,4.5,-,-,,,,,,,,,
55,11,1,97795,1,8,5.34,7,-,-,,,,,,,,,
56,12,1,97795,0,7,5.34,7,-,-,,,,,,,,,
57,13,1,78497,0,7,5.34,7,-,-,,,,,,,,,
58,14,1,78497,1,3,7.01,7,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
59,15,1,78497,0,3,7.01,7,-,-,,,,,,,,,
60,16,1,78497,1,9,8.68,7,-,-,,,,,,,,,
61,17,1,97795,1,4,8.68,9.5,-,-,,,,,,,,,
62,18,1,97795,0,8,8.68,9.5,-,-,,,,,,,,,
63,19,1,78497,1,2,10.35,9.5,-,-,,,,,,,,,
64,20,1,78497,0,2,10.35,9.5,-,-,,,,,,,,,
65,21,1,97795,1,5,10.35,12,-,-,,,,,,,,,
66,22,1,97795,0,5,10.35,12,-,-,,,,,,,,,
67,23,1,78497,1,5,12.02,12,-,-,,,,,,,,,
68,24,1,78497,0,8,12.02,12,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
69,25,1,78497,0,4,12.02,12,-,-,,,,,,,,,
70,26,1,78497,0,2,12.02,12,-,-,,,,,,,,,
71,27,1,97795,1,4,12.02,14.5,-,-,,,,,,,,,
72,28,1,97795,0,5,12.02,14.5,-,-,,,,,,,,,
73,29,1,78497,0,8,12.02,14.5,-,-,,,,,,,,,
74,30,1,78497,1,4,13.69,14.5,-,-,,,,,,,,,
75,31,1,97795,1,2,13.69,17,-,-,,,,,,,,,
76,32,1,97795,0,3,13.69,17,-,-,,,,,,,,,
77,33,1,78497,0,9,13.69,17,-,-,,,,,,,,,
78,34,1,78497,0,3,13.69,17,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
79,35,1,78497,0,3,13.69,17,-,-,,,,,,,,,
80,36,1,78497,1,3,15.36,17,-,-,,,,,,,,,
81,37,1,97795,0,3,15.36,17,-,-,,,,,,,,,
82,38,1,97795,0,10,15.36,17,-,-,,,,,,,,,
83,39,1,78497,1,1,17.03,17,-,-,,,,,,,,,
84,40,1,78497,1,3,18.7,17,-,-,,,,,,,,,
85,41,1,97795,0,8,18.7,17,-,-,,,,,,,,,
86,42,1,97795,0,8,18.7,17,-,-,,,,,,,,,
87,43,1,78497,1,4,20.37,17,-,-,,,,,,,,,
88,44,1,78497,1,4,22.04,17,-,-,,,,,,,,,
