gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 b5c1fd10-d17c-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:35:16 GMT-0700 (Pacific Daylight Time),23007, USA,55053,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,23007,0,9,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,23007,1,4,2,0,0,0,,,,,,,,,
3,3,0,55053,1,10,2,0,0,2,,,,,,,,,
4,4,0,55053,1,10,2,2,0,2,0.5,0.5,0.62,0.38,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,23007,0,8,2,2,0,2,,,,,,,,,
6,6,0,23007,1,4,3.67,2,0,2,,,,,,,,,
7,7,0,55053,1,10,3.67,2,0,4.5,,,,,,,,,
8,8,0,55053,1,10,3.67,4.5,0,4.5,,,,,,,,,
9,9,0,23007,0,6,3.67,4.5,0,4.5,,,,,,,,,
10,10,0,23007,1,5,5.34,4.5,0,4.5,,,,,,,,,
11,11,0,55053,0,6,5.34,4.5,0,4.5,,,,,,,,,
12,12,0,55053,0,2,5.34,4.5,0,4.5,,,,,,,,,
13,13,0,23007,1,6,5.34,4.5,1.67,4.5,,,,,,,,,
14,14,0,23007,1,3,7.01,4.5,1.67,4.5,0.35,0.65,0.67,0.33,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
15,15,0,23007,0,4,7.01,4.5,1.67,4.5,,,,,,,,,
16,16,0,23007,1,4,9.51,4.5,1.67,4.5,,,,,,,,,
17,17,0,55053,0,3,9.51,4.5,1.67,4.5,,,,,,,,,
18,18,0,55053,0,7,9.51,4.5,1.67,4.5,,,,,,,,,
19,19,0,23007,0,5,9.51,4.5,1.67,4.5,,,,,,,,,
20,20,0,23007,1,3,12.01,4.5,1.67,4.5,,,,,,,,,
21,21,0,55053,1,4,12.01,4.5,1.67,7,,,,,,,,,
22,22,0,55053,0,4,12.01,4.5,1.67,7,,,,,,,,,
23,23,0,23007,0,4,12.01,4.5,1.67,7,,,,,,,,,
24,24,0,55053,0,3,12.01,4.5,1.67,7,0.13,0.87,0.79,0.21,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
25,25,0,23007,1,7,12.01,4.5,2.92,7,,,,,,,,,
26,26,0,23007,1,3,17.01,4.5,2.92,7,,,,,,,,,
27,27,0,55053,1,9,17.01,4.5,2.92,12,,,,,,,,,
28,28,0,55053,0,3,17.01,4.5,2.92,12,,,,,,,,,
29,29,0,23007,0,6,17.01,4.5,2.92,12,,,,,,,,,
30,30,0,55053,1,7,17.01,5.75,2.92,12,,,,,,,,,
31,31,0,23007,1,3,17.01,5.75,4.17,12,,,,,,,,,
32,32,0,55053,0,2,17.01,5.75,4.17,12,,,,,,,,,
33,33,0,23007,0,7,17.01,5.75,4.17,12,,,,,,,,,
34,34,0,55053,0,4,17.01,5.75,4.17,12,0.06,0.94,0.88,0.12,0.01,0.99,0.8,0.2, 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
35,35,0,23007,0,5,17.01,5.75,4.17,12,,,,,,,,,
36,36,0,55053,0,4,17.01,5.75,4.17,12,,,,,,,,,
37,37,0,55053,0,4,17.01,5.75,4.17,12,,,,,,,,,
38,38,0,55053,1,7,17.01,6.76,4.17,12,,,,,,,,,
39,39,0,23007,0,3,17.01,6.76,4.17,12,,,,,,,,,
40,40,0,55053,0,4,17.01,6.76,4.17,12,,,,,,,,,
41,41,0,23007,1,4,17.01,6.76,5.42,12,,,,,,,,,
42,42,0,55053,0,4,17.01,6.76,5.42,12,,,,,,,,,
43,43,0,23007,1,6,17.01,6.76,6.67,12,,,,,,,,,
44,44,0,55053,1,9,17.01,7.77,6.67,12,,,,,,,,,
45,1,1,23007,1,7,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,23007,0,3,2,0,-,-,,,,,,,,,
47,3,1,55053,1,3,2,2,-,-,,,,,,,,,
48,4,1,55053,0,2,2,2,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,23007,0,6,2,2,-,-,,,,,,,,,
50,6,1,23007,0,2,2,2,-,-,,,,,,,,,
51,7,1,55053,1,2,2,4.5,-,-,,,,,,,,,
52,8,1,55053,0,7,2,4.5,-,-,,,,,,,,,
53,9,1,23007,1,6,3.67,4.5,-,-,,,,,,,,,
54,10,1,23007,0,4,3.67,4.5,-,-,,,,,,,,,
55,11,1,55053,1,4,3.67,7,-,-,,,,,,,,,
56,12,1,55053,1,6,3.67,9.5,-,-,,,,,,,,,
57,13,1,23007,0,4,3.67,9.5,-,-,,,,,,,,,
58,14,1,23007,1,2,5.34,9.5,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
59,15,1,23007,0,6,5.34,9.5,-,-,,,,,,,,,
60,16,1,23007,1,3,7.01,9.5,-,-,,,,,,,,,
61,17,1,55053,1,3,7.01,12,-,-,,,,,,,,,
62,18,1,55053,0,7,7.01,12,-,-,,,,,,,,,
63,19,1,23007,1,5,8.68,12,-,-,,,,,,,,,
64,20,1,23007,0,5,8.68,12,-,-,,,,,,,,,
65,21,1,55053,1,4,8.68,14.5,-,-,,,,,,,,,
66,22,1,55053,0,4,8.68,14.5,-,-,,,,,,,,,
67,23,1,23007,0,3,8.68,14.5,-,-,,,,,,,,,
68,24,1,23007,1,4,10.35,14.5,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
69,25,1,23007,0,5,10.35,14.5,-,-,,,,,,,,,
70,26,1,23007,1,5,12.02,14.5,-,-,,,,,,,,,
71,27,1,55053,1,4,12.02,17,-,-,,,,,,,,,
72,28,1,55053,0,3,12.02,17,-,-,,,,,,,,,
73,29,1,23007,0,4,12.02,17,-,-,,,,,,,,,
74,30,1,23007,0,3,12.02,17,-,-,,,,,,,,,
75,31,1,55053,1,3,12.02,19.5,-,-,,,,,,,,,
76,32,1,55053,0,2,12.02,19.5,-,-,,,,,,,,,
77,33,1,23007,0,5,12.02,19.5,-,-,,,,,,,,,
78,34,1,23007,1,3,13.69,19.5,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
79,35,1,23007,1,3,15.36,19.5,-,-,,,,,,,,,
80,36,1,23007,1,5,17.03,19.5,-,-,,,,,,,,,
81,37,1,55053,1,3,17.03,22,-,-,,,,,,,,,
82,38,1,55053,0,4,17.03,22,-,-,,,,,,,,,
83,39,1,23007,0,4,17.03,22,-,-,,,,,,,,,
84,40,1,23007,1,2,18.7,22,-,-,,,,,,,,,
85,41,1,55053,1,5,18.7,24.5,-,-,,,,,,,,,
86,42,1,55053,1,8,18.7,27,-,-,,,,,,,,,
87,43,1,23007,0,2,18.7,27,-,-,,,,,,,,,
88,44,1,23007,1,5,20.37,27,-,-,,,,,,,,,
