gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 dfecb520-d17d-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:43:36 GMT-0700 (Pacific Daylight Time),28743, USA,53268,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,28743,1,10,0,0,2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,28743,0,4,0,0,2,0,,,,,,,,,
3,3,0,53268,0,4,0,0,2,0,,,,,,,,,
4,4,0,53268,0,3,0,0,2,0,0.5,0.5,0.38,0.62,0.6,0.4,0.4,0.6, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 0
5,5,0,28743,1,4,0,0,4.5,0,,,,,,,,,
6,6,0,28743,1,8,1.67,0,4.5,0,,,,,,,,,
7,7,0,53268,0,8,1.67,0,4.5,0,,,,,,,,,
8,8,0,53268,0,4,1.67,0,4.5,0,,,,,,,,,
9,9,0,28743,1,4,1.67,0,7,0,,,,,,,,,
10,10,0,28743,0,6,1.67,0,7,0,,,,,,,,,
11,11,0,53268,0,6,1.67,0,7,0,,,,,,,,,
12,12,0,53268,0,4,1.67,0,7,0,,,,,,,,,
13,13,0,53268,1,10,1.67,0,7,1.67,,,,,,,,,
14,14,0,28743,0,4,1.67,0,7,1.67,0.43,0.57,0.23,0.77,0.4,0.6,0.2,0.8, 0 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 1
15,15,0,28743,1,2,1.67,0,12,1.67,,,,,,,,,
16,16,0,28743,0,7,1.67,0,12,1.67,,,,,,,,,
17,17,0,53268,1,9,1.67,0,12,2.92,,,,,,,,,
18,18,0,53268,0,6,1.67,0,12,2.92,,,,,,,,,
19,19,0,53268,1,6,1.67,0,12,4.17,,,,,,,,,
20,20,0,28743,0,3,1.67,0,12,4.17,,,,,,,,,
21,21,0,53268,1,5,1.67,0,12,5.42,,,,,,,,,
22,22,0,53268,1,7,1.67,1.67,12,5.42,,,,,,,,,
23,23,0,53268,0,4,1.67,1.67,12,5.42,,,,,,,,,
24,24,0,53268,0,5,1.67,1.67,12,5.42,0.5,0.5,0.16,0.84,0.6,0.4,0.2,0.8, 0 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0
25,25,0,28743,0,3,1.67,1.67,12,5.42,,,,,,,,,
26,26,0,28743,1,6,3.34,1.67,12,5.42,,,,,,,,,
27,27,0,53268,1,5,3.34,1.67,12,6.67,,,,,,,,,
28,28,0,53268,0,3,3.34,1.67,12,6.67,,,,,,,,,
29,29,0,53268,1,5,3.34,1.67,12,7.92,,,,,,,,,
30,30,0,28743,0,10,3.34,1.67,12,7.92,,,,,,,,,
31,31,0,53268,1,5,3.34,1.67,12,9.17,,,,,,,,,
32,32,0,53268,0,4,3.34,1.67,12,9.17,,,,,,,,,
33,33,0,53268,1,4,3.34,1.67,12,10.42,,,,,,,,,
34,34,0,28743,0,5,3.34,1.67,12,10.42,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.6, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
35,35,0,28743,1,4,3.34,1.67,14.5,10.42,,,,,,,,,
36,36,0,28743,0,9,3.34,1.67,14.5,10.42,,,,,,,,,
37,37,0,53268,1,4,3.34,1.67,14.5,12.09,,,,,,,,,
38,38,0,53268,1,8,3.34,3.34,14.5,12.09,,,,,,,,,
39,39,0,28743,1,5,3.34,3.34,17,12.09,,,,,,,,,
40,40,0,28743,0,2,3.34,3.34,17,12.09,,,,,,,,,
41,41,0,53268,1,4,3.34,3.34,17,13.76,,,,,,,,,
42,42,0,53268,0,5,3.34,3.34,17,13.76,,,,,,,,,
43,43,0,53268,1,3,3.34,3.34,17,15.43,,,,,,,,,
44,44,0,53268,0,6,3.34,3.34,17,15.43,,,,,,,,,
45,1,1,28743,1,6,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,28743,0,7,2,0,-,-,,,,,,,,,
47,3,1,53268,1,4,2,2,-,-,,,,,,,,,
48,4,1,53268,0,3,2,2,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,28743,1,8,3.67,2,-,-,,,,,,,,,
50,6,1,28743,0,2,3.67,2,-,-,,,,,,,,,
51,7,1,53268,1,5,3.67,4.5,-,-,,,,,,,,,
52,8,1,53268,0,3,3.67,4.5,-,-,,,,,,,,,
53,9,1,28743,1,7,5.34,4.5,-,-,,,,,,,,,
54,10,1,28743,0,7,5.34,4.5,-,-,,,,,,,,,
55,11,1,53268,0,4,5.34,4.5,-,-,,,,,,,,,
56,12,1,53268,0,4,5.34,4.5,-,-,,,,,,,,,
57,13,1,28743,1,1,7.01,4.5,-,-,,,,,,,,,
58,14,1,28743,0,6,7.01,4.5,-,-,0.35,0.65,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
59,15,1,28743,0,9,7.01,4.5,-,-,,,,,,,,,
60,16,1,28743,0,7,7.01,4.5,-,-,,,,,,,,,
61,17,1,53268,1,3,7.01,6.17,-,-,,,,,,,,,
62,18,1,53268,0,7,7.01,6.17,-,-,,,,,,,,,
63,19,1,28743,1,4,9.51,6.17,-,-,,,,,,,,,
64,20,1,28743,0,6,9.51,6.17,-,-,,,,,,,,,
65,21,1,53268,1,4,9.51,7.84,-,-,,,,,,,,,
66,22,1,53268,1,5,9.51,9.51,-,-,,,,,,,,,
67,23,1,53268,1,7,9.51,11.18,-,-,,,,,,,,,
68,24,1,53268,0,4,9.51,11.18,-,-,0.6,0.4,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
69,25,1,28743,1,8,11.18,11.18,-,-,,,,,,,,,
70,26,1,28743,0,5,11.18,11.18,-,-,,,,,,,,,
71,27,1,53268,1,7,11.18,13.68,-,-,,,,,,,,,
72,28,1,53268,0,4,11.18,13.68,-,-,,,,,,,,,
73,29,1,28743,0,7,11.18,13.68,-,-,,,,,,,,,
74,30,1,28743,0,7,11.18,13.68,-,-,,,,,,,,,
75,31,1,53268,0,5,11.18,13.68,-,-,,,,,,,,,
76,32,1,53268,0,2,11.18,13.68,-,-,,,,,,,,,
77,33,1,28743,1,1,12.85,13.68,-,-,,,,,,,,,
78,34,1,28743,0,8,12.85,13.68,-,-,0.55,0.45,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
79,35,1,28743,0,4,12.85,13.68,-,-,,,,,,,,,
80,36,1,28743,0,4,12.85,13.68,-,-,,,,,,,,,
81,37,1,53268,1,3,12.85,16.18,-,-,,,,,,,,,
82,38,1,53268,0,6,12.85,16.18,-,-,,,,,,,,,
83,39,1,28743,1,4,14.52,16.18,-,-,,,,,,,,,
84,40,1,28743,0,4,14.52,16.18,-,-,,,,,,,,,
85,41,1,53268,1,4,14.52,18.68,-,-,,,,,,,,,
86,42,1,53268,0,6,14.52,18.68,-,-,,,,,,,,,
87,43,1,28743,1,4,16.19,18.68,-,-,,,,,,,,,
88,44,1,28743,0,7,16.19,18.68,-,-,,,,,,,,,
