gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,,,,,,,,,,
 01370be0-d17e-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:44:32 GMT-0700 (Pacific Daylight Time),21057, USA,57738,  INDIA, True, False ,,,,,,,,,,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns ,,,,,,,,,
1,1,0,21057,0,3,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1,,,,,,,,,
2,2,0,21057,1,4,2,0,0,0,,,,,,,,,,,,,,,,,,
3,3,0,57738,0,4,2,0,0,0,,,,,,,,,,,,,,,,,,
4,4,0,57738,0,2,2,0,0,0,0.38,0.62,0.5,0.5,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1,,,,,,,,,
5,5,0,21057,0,2,2,0,0,0,,,,,,,,,,,,,,,,,,
6,6,0,21057,1,6,4.5,0,0,0,,,,,,,,,,,,,,,,,,
7,7,0,57738,1,4,4.5,0,0,2.5,,,,,,,,,,,,,,,,,,
8,8,0,57738,1,2,4.5,1.67,0,2.5,,,,,,,,,,,,,,,,,,
9,9,0,21057,0,2,4.5,1.67,0,2.5,,,,,,,,,,,,,,,,,,
10,10,0,21057,1,3,7,1.67,0,2.5,,,,,,,,,,,,,,,,,,
11,11,0,57738,0,4,7,1.67,0,2.5,,,,,,,,,,,,,,,,,,
12,12,0,57738,0,2,7,1.67,0,2.5,,,,,,,,,,,,,,,,,,
13,13,0,21057,0,4,7,1.67,0,2.5,,,,,,,,,,,,,,,,,,
14,14,0,57738,0,4,7,1.67,0,2.5,0.21,0.79,0.65,0.35,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1,,,,,,,,,
15,15,0,21057,0,3,7,1.67,0,2.5,,,,,,,,,,,,,,,,,,
16,16,0,21057,1,6,12,1.67,0,2.5,,,,,,,,,,,,,,,,,,
17,17,0,57738,0,8,12,1.67,0,2.5,,,,,,,,,,,,,,,,,,
18,18,0,57738,0,6,12,1.67,0,2.5,,,,,,,,,,,,,,,,,,
19,19,0,21057,0,3,12,1.67,0,2.5,,,,,,,,,,,,,,,,,,
20,20,0,57738,1,1,12,2.92,0,2.5,,,,,,,,,,,,,,,,,,
21,21,0,57738,1,6,12,2.92,0,5,,,,,,,,,,,,,,,,,,
22,22,0,57738,1,9,12,4.17,0,5,,,,,,,,,,,,,,,,,,
23,23,0,21057,0,4,12,4.17,0,5,,,,,,,,,,,,,,,,,,
24,24,0,57738,0,3,12,4.17,0,5,0.12,0.88,0.78,0.22,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1,,,,,,,,,
25,25,0,21057,0,3,12,4.17,0,5,,,,,,,,,,,,,,,,,,
26,26,0,21057,0,9,12,4.17,0,5,,,,,,,,,,,,,,,,,,
27,27,0,57738,0,6,12,4.17,0,5,,,,,,,,,,,,,,,,,,
28,28,0,57738,0,5,12,4.17,0,5,,,,,,,,,,,,,,,,,,
29,29,0,21057,0,4,12,4.17,0,5,,,,,,,,,,,,,,,,,,
30,30,0,57738,1,9,12,5.42,0,5,,,,,,,,,,,,,,,,,,
31,31,0,21057,0,3,12,5.42,0,5,,,,,,,,,,,,,,,,,,
32,32,0,57738,0,6,12,5.42,0,5,,,,,,,,,,,,,,,,,,
33,33,0,21057,0,2,12,5.42,0,5,,,,,,,,,,,,,,,,,,
34,34,0,57738,0,3,12,5.42,0,5,0.16,0.84,0.78,0.22,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1,,,,,,,,,
35,35,0,57738,1,3,12,5.42,0,10,,,,,,,,,,,,,,,,,,
36,36,0,21057,1,8,17,5.42,0,10,,,,,,,,,,,,,,,,,,
37,37,0,57738,1,3,17,5.42,0,15,,,,,,,,,,,,,,,,,,
38,38,0,57738,0,7,17,5.42,0,15,,,,,,,,,,,,,,,,,,
39,39,0,21057,0,3,17,5.42,0,15,,,,,,,,,,,,,,,,,,
40,40,0,57738,0,4,17,5.42,0,15,,,,,,,,,,,,,,,,,,
41,41,0,21057,0,2,17,5.42,0,15,,,,,,,,,,,,,,,,,,
42,42,0,57738,0,4,17,5.42,0,15,,,,,,,,,,,,,,,,,,
43,43,0,21057,0,3,17,5.42,0,15,,,,,,,,,,,,,,,,,,
44,44,0,57738,0,5,17,5.42,0,15,,,,,,,,,,,,,,,,,,
45,1,1,21057,1,10,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,21057,1,4,4,0,-,-,,,,,,,,,,,,,,,,,,
47,3,1,57738,1,6,4,2,-,-,,,,,,,,,,,,,,,,,,
48,4,1,57738,0,3,4,2,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1,,,,,,,,,
49,5,1,21057,1,10,6.5,2,-,-,,,,,,,,,,,,,,,,,,
50,6,1,21057,1,7,9,2,-,-,,,,,,,,,,,,,,,,,,
51,7,1,57738,1,10,9,3.67,-,-,,,,,,,,,,,,,,,,,,
52,8,1,57738,0,8,9,3.67,-,-,,,,,,,,,,,,,,,,,,
53,9,1,21057,0,3,9,3.67,-,-,,,,,,,,,,,,,,,,,,
54,10,1,21057,1,10,11.5,3.67,-,-,,,,,,,,,,,,,,,,,,
55,11,1,57738,1,9,11.5,5.34,-,-,,,,,,,,,,,,,,,,,,
56,12,1,57738,1,10,11.5,7.01,-,-,,,,,,,,,,,,,,,,,,
57,13,1,57738,0,7,11.5,7.01,-,-,,,,,,,,,,,,,,,,,,
58,14,1,57738,0,7,11.5,7.01,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1,,,,,,,,,
59,15,1,21057,0,5,11.5,7.01,-,-,,,,,,,,,,,,,,,,,,
60,16,1,21057,1,9,14,7.01,-,-,,,,,,,,,,,,,,,,,,
61,17,1,57738,1,1,14,8.68,-,-,,,,,,,,,,,,,,,,,,
