gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 3b1272a0-d17e-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:46:09 GMT-0700 (Pacific Daylight Time),33550, USA,12121,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,33550,0,6,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,33550,1,4,2,0,0,0,,,,,,,,,
3,3,0,12121,1,1,2,0,0,2,,,,,,,,,
4,4,0,12121,1,10,2,2,0,2,0.5,0.5,0.62,0.38,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,33550,0,6,2,2,0,2,,,,,,,,,
6,6,0,33550,1,6,3.67,2,0,2,,,,,,,,,
7,7,0,12121,1,1,3.67,2,0,4.5,,,,,,,,,
8,8,0,12121,1,10,3.67,4.5,0,4.5,,,,,,,,,
9,9,0,33550,0,4,3.67,4.5,0,4.5,,,,,,,,,
10,10,0,33550,1,5,5.34,4.5,0,4.5,,,,,,,,,
11,11,0,12121,1,2,5.34,4.5,0,7,,,,,,,,,
12,12,0,12121,1,4,5.34,7,0,7,,,,,,,,,
13,13,0,33550,1,7,5.34,7,1.67,7,,,,,,,,,
14,14,0,33550,1,4,7.01,7,1.67,7,0.5,0.5,0.79,0.21,0.6,0.4,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0
15,15,0,33550,0,7,7.01,7,1.67,7,,,,,,,,,
16,16,0,33550,0,4,7.01,7,1.67,7,,,,,,,,,
17,17,0,12121,0,5,7.01,7,1.67,7,,,,,,,,,
18,18,0,12121,0,3,7.01,7,1.67,7,,,,,,,,,
19,19,0,33550,0,5,7.01,7,1.67,7,,,,,,,,,
20,20,0,33550,1,4,8.68,7,1.67,7,,,,,,,,,
21,21,0,33550,0,5,8.68,7,1.67,7,,,,,,,,,
22,22,0,12121,1,1,8.68,9.5,1.67,7,,,,,,,,,
23,23,0,33550,0,2,8.68,9.5,1.67,7,,,,,,,,,
24,24,0,33550,0,4,8.68,9.5,1.67,7,0.55,0.45,0.79,0.21,0.6,0.4,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0
25,25,0,33550,0,6,8.68,9.5,1.67,7,,,,,,,,,
26,26,0,33550,0,3,8.68,9.5,1.67,7,,,,,,,,,
27,27,0,12121,1,3,8.68,9.5,1.67,12,,,,,,,,,
28,28,0,12121,0,5,8.68,9.5,1.67,12,,,,,,,,,
29,29,0,33550,0,4,8.68,9.5,1.67,12,,,,,,,,,
30,30,0,33550,1,3,10.35,9.5,1.67,12,,,,,,,,,
31,31,0,33550,0,3,10.35,9.5,1.67,12,,,,,,,,,
32,32,0,12121,0,5,10.35,9.5,1.67,12,,,,,,,,,
33,33,0,33550,0,5,10.35,9.5,1.67,12,,,,,,,,,
34,34,0,33550,0,4,10.35,9.5,1.67,12,0.41,0.59,0.92,0.08,0.4,0.6,0.99,0.01, 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1
35,35,0,33550,0,5,10.35,9.5,1.67,12,,,,,,,,,
36,36,0,33550,0,4,10.35,9.5,1.67,12,,,,,,,,,
37,37,0,33550,0,7,10.35,9.5,1.67,12,,,,,,,,,
38,38,0,12121,1,2,10.35,11.17,1.67,12,,,,,,,,,
39,39,0,33550,0,4,10.35,11.17,1.67,12,,,,,,,,,
40,40,0,33550,1,4,12.85,11.17,1.67,12,,,,,,,,,
41,41,0,33550,0,3,12.85,11.17,1.67,12,,,,,,,,,
42,42,0,12121,0,5,12.85,11.17,1.67,12,,,,,,,,,
43,43,0,33550,1,5,12.85,11.17,2.68,12,,,,,,,,,
44,44,0,12121,1,8,12.85,12.84,2.68,12,,,,,,,,,
45,1,1,33550,0,3,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,33550,0,3,0,0,-,-,,,,,,,,,
47,3,1,12121,1,7,0,2,-,-,,,,,,,,,
48,4,1,12121,0,3,0,2,-,-,0.62,0.38,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,12121,1,6,0,4.5,-,-,,,,,,,,,
50,6,1,33550,0,3,0,4.5,-,-,,,,,,,,,
51,7,1,12121,0,6,0,4.5,-,-,,,,,,,,,
52,8,1,12121,0,6,0,4.5,-,-,,,,,,,,,
53,9,1,33550,0,5,0,4.5,-,-,,,,,,,,,
54,10,1,33550,1,4,1.67,4.5,-,-,,,,,,,,,
55,11,1,12121,1,7,1.67,7,-,-,,,,,,,,,
56,12,1,12121,0,3,1.67,7,-,-,,,,,,,,,
57,13,1,33550,0,4,1.67,7,-,-,,,,,,,,,
58,14,1,33550,1,3,3.34,7,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
59,15,1,12121,1,5,3.34,9.5,-,-,,,,,,,,,
60,16,1,33550,1,4,5.01,9.5,-,-,,,,,,,,,
61,17,1,12121,1,4,5.01,12,-,-,,,,,,,,,
62,18,1,12121,0,3,5.01,12,-,-,,,,,,,,,
63,19,1,33550,0,5,5.01,12,-,-,,,,,,,,,
64,20,1,33550,1,3,6.68,12,-,-,,,,,,,,,
65,21,1,12121,1,4,6.68,14.5,-,-,,,,,,,,,
66,22,1,12121,1,4,6.68,17,-,-,,,,,,,,,
67,23,1,33550,0,4,6.68,17,-,-,,,,,,,,,
68,24,1,33550,1,4,8.35,17,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
69,25,1,33550,0,4,8.35,17,-,-,,,,,,,,,
70,26,1,33550,1,2,10.02,17,-,-,,,,,,,,,
71,27,1,12121,1,7,10.02,19.5,-,-,,,,,,,,,
72,28,1,12121,1,5,10.02,22,-,-,,,,,,,,,
73,29,1,33550,0,4,10.02,22,-,-,,,,,,,,,
74,30,1,33550,1,2,11.69,22,-,-,,,,,,,,,
75,31,1,12121,1,7,11.69,24.5,-,-,,,,,,,,,
76,32,1,12121,1,10,11.69,27,-,-,,,,,,,,,
77,33,1,33550,1,6,13.36,27,-,-,,,,,,,,,
78,34,1,33550,0,2,13.36,27,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
79,35,1,33550,0,2,13.36,27,-,-,,,,,,,,,
80,36,1,33550,0,7,13.36,27,-,-,,,,,,,,,
81,37,1,12121,1,1,13.36,29.5,-,-,,,,,,,,,
82,38,1,12121,1,10,13.36,32,-,-,,,,,,,,,
83,39,1,33550,0,4,13.36,32,-,-,,,,,,,,,
84,40,1,33550,1,3,15.03,32,-,-,,,,,,,,,
85,41,1,12121,1,1,15.03,34.5,-,-,,,,,,,,,
86,42,1,12121,0,5,15.03,34.5,-,-,,,,,,,,,
87,43,1,33550,0,3,15.03,34.5,-,-,,,,,,,,,
88,44,1,33550,0,4,15.03,34.5,-,-,,,,,,,,,
