gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 647933e0-d17e-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:47:19 GMT-0700 (Pacific Daylight Time),40297, USA,80996,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,40297,0,6,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,40297,1,5,2,0,0,0,,,,,,,,,
3,3,0,80996,1,1,2,0,0,2,,,,,,,,,
4,4,0,80996,0,3,2,0,0,2,0.38,0.62,0.62,0.38,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
5,5,0,40297,0,4,2,0,0,2,,,,,,,,,
6,6,0,40297,1,5,4.5,0,0,2,,,,,,,,,
7,7,0,80996,1,2,4.5,0,0,4.5,,,,,,,,,
8,8,0,80996,0,5,4.5,0,0,4.5,,,,,,,,,
9,9,0,40297,0,5,4.5,0,0,4.5,,,,,,,,,
10,10,0,40297,1,4,7,0,0,4.5,,,,,,,,,
11,11,0,80996,1,3,7,0,0,7,,,,,,,,,
12,12,0,80996,1,10,7,1.67,0,7,,,,,,,,,
13,13,0,40297,1,8,7,1.67,1.67,7,,,,,,,,,
14,14,0,80996,1,1,7,3.34,1.67,7,0.29,0.71,0.79,0.21,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
15,15,0,40297,0,7,7,3.34,1.67,7,,,,,,,,,
16,16,0,40297,1,5,12,3.34,1.67,7,,,,,,,,,
17,17,0,80996,1,6,12,3.34,1.67,12,,,,,,,,,
18,18,0,80996,0,3,12,3.34,1.67,12,,,,,,,,,
19,19,0,40297,1,9,12,3.34,2.92,12,,,,,,,,,
20,20,0,80996,0,5,12,3.34,2.92,12,,,,,,,,,
21,21,0,40297,0,3,12,3.34,2.92,12,,,,,,,,,
22,22,0,80996,1,2,12,4.59,2.92,12,,,,,,,,,
23,23,0,40297,0,2,12,4.59,2.92,12,,,,,,,,,
24,24,0,80996,0,6,12,4.59,2.92,12,0.14,0.86,0.91,0.09,0.2,0.8,0.99,0.01, 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
25,25,0,40297,0,3,12,4.59,2.92,12,,,,,,,,,
26,26,0,40297,1,3,17,4.59,2.92,12,,,,,,,,,
27,27,0,40297,0,3,17,4.59,2.92,12,,,,,,,,,
28,28,0,80996,0,3,17,4.59,2.92,12,,,,,,,,,
29,29,0,40297,0,5,17,4.59,2.92,12,,,,,,,,,
30,30,0,80996,1,7,17,5.84,2.92,12,,,,,,,,,
31,31,0,40297,0,2,17,5.84,2.92,12,,,,,,,,,
32,32,0,80996,1,1,17,7.09,2.92,12,,,,,,,,,
33,33,0,40297,0,4,17,7.09,2.92,12,,,,,,,,,
