gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 fa0755e0-d17e-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:51:30 GMT-0700 (Pacific Daylight Time),72299, USA,89271,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,72299,0,4,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,72299,1,3,2,0,0,0,,,,,,,,,
3,3,0,89271,1,3,2,0,0,2,,,,,,,,,
4,4,0,89271,0,5,2,0,0,2,0.38,0.62,0.62,0.38,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
5,5,0,72299,0,3,2,0,0,2,,,,,,,,,
6,6,0,72299,1,2,4.5,0,0,2,,,,,,,,,
7,7,0,89271,1,3,4.5,0,0,4.5,,,,,,,,,
8,8,0,89271,0,3,4.5,0,0,4.5,,,,,,,,,
9,9,0,72299,0,2,4.5,0,0,4.5,,,,,,,,,
10,10,0,72299,1,2,7,0,0,4.5,,,,,,,,,
11,11,0,89271,0,4,7,0,0,4.5,,,,,,,,,
12,12,0,89271,0,4,7,0,0,4.5,,,,,,,,,
13,13,0,72299,1,4,7,0,1.67,4.5,,,,,,,,,
14,14,0,89271,0,4,7,0,1.67,4.5,0.15,0.85,0.67,0.33,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1
15,15,0,72299,0,2,7,0,1.67,4.5,,,,,,,,,
16,16,0,72299,1,2,12,0,1.67,4.5,,,,,,,,,
17,17,0,89271,1,5,12,0,1.67,7,,,,,,,,,
18,18,0,89271,0,9,12,0,1.67,7,,,,,,,,,
19,19,0,72299,0,4,12,0,1.67,7,,,,,,,,,
20,20,0,89271,0,4,12,0,1.67,7,,,,,,,,,
21,21,0,89271,1,10,12,0,1.67,9.5,,,,,,,,,
22,22,0,89271,0,5,12,0,1.67,9.5,,,,,,,,,
23,23,0,72299,0,2,12,0,1.67,9.5,,,,,,,,,
24,24,0,89271,0,3,12,0,1.67,9.5,0.05,0.95,0.88,0.12,0.01,0.99,0.8,0.2, 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
25,25,0,89271,0,5,12,0,1.67,9.5,,,,,,,,,
26,26,0,89271,0,3,12,0,1.67,9.5,,,,,,,,,
27,27,0,89271,1,4,12,0,1.67,14.5,,,,,,,,,
28,28,0,89271,0,3,12,0,1.67,14.5,,,,,,,,,
29,29,0,72299,0,5,12,0,1.67,14.5,,,,,,,,,
30,30,0,89271,1,4,12,1.01,1.67,14.5,,,,,,,,,
31,31,0,72299,0,1,12,1.01,1.67,14.5,,,,,,,,,
32,32,0,89271,0,3,12,1.01,1.67,14.5,,,,,,,,,
33,33,0,72299,0,4,12,1.01,1.67,14.5,,,,,,,,,
34,34,0,89271,1,5,12,2.02,1.67,14.5,0.08,0.92,0.96,0.04,0.01,0.99,0.99,0.01, 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
35,35,0,72299,1,4,12,2.02,2.68,14.5,,,,,,,,,
36,36,0,89271,0,6,12,2.02,2.68,14.5,,,,,,,,,
37,37,0,72299,1,4,12,2.02,3.69,14.5,,,,,,,,,
38,38,0,89271,0,3,12,2.02,3.69,14.5,,,,,,,,,
39,39,0,72299,0,2,12,2.02,3.69,14.5,,,,,,,,,
40,40,0,89271,0,3,12,2.02,3.69,14.5,,,,,,,,,
41,41,0,72299,0,5,12,2.02,3.69,14.5,,,,,,,,,
42,42,0,89271,0,6,12,2.02,3.69,14.5,,,,,,,,,
43,43,0,72299,0,4,12,2.02,3.69,14.5,,,,,,,,,
44,44,0,89271,1,4,12,3.03,3.69,14.5,,,,,,,,,
45,1,1,72299,0,3,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,72299,1,2,2,0,-,-,,,,,,,,,
47,3,1,89271,1,3,2,2,-,-,,,,,,,,,
48,4,1,89271,0,3,2,2,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,72299,0,2,2,2,-,-,,,,,,,,,
50,6,1,72299,0,1,2,2,-,-,,,,,,,,,
51,7,1,89271,1,3,2,4.5,-,-,,,,,,,,,
52,8,1,89271,0,5,2,4.5,-,-,,,,,,,,,
53,9,1,72299,0,3,2,4.5,-,-,,,,,,,,,
54,10,1,72299,0,4,2,4.5,-,-,,,,,,,,,
55,11,1,89271,1,5,2,7,-,-,,,,,,,,,
56,12,1,89271,0,4,2,7,-,-,,,,,,,,,
57,13,1,72299,0,3,2,7,-,-,,,,,,,,,
58,14,1,72299,0,1,2,7,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
59,15,1,72299,0,2,2,7,-,-,,,,,,,,,
60,16,1,72299,1,2,3.67,7,-,-,,,,,,,,,
61,17,1,89271,1,5,3.67,9.5,-,-,,,,,,,,,
62,18,1,89271,0,4,3.67,9.5,-,-,,,,,,,,,
63,19,1,72299,0,2,3.67,9.5,-,-,,,,,,,,,
64,20,1,72299,1,1,5.34,9.5,-,-,,,,,,,,,
65,21,1,89271,0,4,5.34,9.5,-,-,,,,,,,,,
66,22,1,89271,1,4,5.34,12,-,-,,,,,,,,,
67,23,1,72299,0,3,5.34,12,-,-,,,,,,,,,
68,24,1,72299,0,1,5.34,12,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
69,25,1,72299,0,3,5.34,12,-,-,,,,,,,,,
70,26,1,72299,1,1,7.01,12,-,-,,,,,,,,,
71,27,1,89271,1,3,7.01,14.5,-,-,,,,,,,,,
72,28,1,89271,0,3,7.01,14.5,-,-,,,,,,,,,
73,29,1,72299,0,3,7.01,14.5,-,-,,,,,,,,,
74,30,1,72299,1,1,8.68,14.5,-,-,,,,,,,,,
75,31,1,89271,0,3,8.68,14.5,-,-,,,,,,,,,
76,32,1,89271,0,2,8.68,14.5,-,-,,,,,,,,,
77,33,1,72299,1,6,10.35,14.5,-,-,,,,,,,,,
78,34,1,72299,0,2,10.35,14.5,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
79,35,1,72299,0,2,10.35,14.5,-,-,,,,,,,,,
80,36,1,72299,0,1,10.35,14.5,-,-,,,,,,,,,
81,37,1,89271,1,7,10.35,17,-,-,,,,,,,,,
82,38,1,89271,1,6,10.35,19.5,-,-,,,,,,,,,
83,39,1,72299,0,3,10.35,19.5,-,-,,,,,,,,,
84,40,1,72299,1,2,12.02,19.5,-,-,,,,,,,,,
85,41,1,89271,1,6,12.02,22,-,-,,,,,,,,,
86,42,1,89271,0,6,12.02,22,-,-,,,,,,,,,
87,43,1,72299,1,5,13.69,22,-,-,,,,,,,,,
88,44,1,72299,0,3,13.69,22,-,-,,,,,,,,,
