gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,,,,,,,,,,
 1b0bf110-d17f-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:52:25 GMT-0700 (Pacific Daylight Time),99332, USA,14412,  INDIA, True, False ,,,,,,,,,,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns ,,,,,,,,,
1,1,0,99332,0,5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1,,,,,,,,,
2,2,0,99332,1,5,2,0,0,0,,,,,,,,,,,,,,,,,,
3,3,0, A2TZDN1NZBZ3V6,1,10,2,0,0,2,,,,,,,,,,,,,,,,,,
4,4,0, A2TZDN1NZBZ3V6,0,4,2,0,0,2,0.38,0.62,0.62,0.38,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1,,,,,,,,,
5,5,0,99332,0,4,2,0,0,2,,,,,,,,,,,,,,,,,,
6,6,0,99332,1,5,4.5,0,0,2,,,,,,,,,,,,,,,,,,
7,7,0, A2TZDN1NZBZ3V6,1,4,4.5,0,0,4.5,,,,,,,,,,,,,,,,,,
8,8,0, A2TZDN1NZBZ3V6,0,3,4.5,0,0,4.5,,,,,,,,,,,,,,,,,,
9,9,0,99332,0,3,4.5,0,0,4.5,,,,,,,,,,,,,,,,,,
10,10,0,99332,1,6,7,0,0,4.5,,,,,,,,,,,,,,,,,,
11,11,0, A2TZDN1NZBZ3V6,1,4,7,0,0,7,,,,,,,,,,,,,,,,,,
12,12,0, A2TZDN1NZBZ3V6,0,3,7,0,0,7,,,,,,,,,,,,,,,,,,
13,13,0,99332,0,6,7,0,0,7,,,,,,,,,,,,,,,,,,
14,14,0, A2TZDN1NZBZ3V6,0,3,7,0,0,7,0.15,0.85,0.85,0.15,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1,,,,,,,,,
15,15,0, A2TZDN1NZBZ3V6,1,3,7,0,0,12,,,,,,,,,,,,,,,,,,
16,16,0,99332,1,5,12,0,0,12,,,,,,,,,,,,,,,,,,
17,17,0, A2TZDN1NZBZ3V6,1,2,12,0,0,17,,,,,,,,,,,,,,,,,,
18,18,0, A2TZDN1NZBZ3V6,0,4,12,0,0,17,,,,,,,,,,,,,,,,,,
19,19,0,99332,1,5,12,0,1.25,17,,,,,,,,,,,,,,,,,,
20,20,0, A2TZDN1NZBZ3V6,0,3,12,0,1.25,17,,,,,,,,,,,,,,,,,,
21,21,0,99332,0,4,12,0,1.25,17,,,,,,,,,,,,,,,,,,
22,22,0, A2TZDN1NZBZ3V6,1,4,12,1.25,1.25,17,,,,,,,,,,,,,,,,,,
23,23,0,99332,0,5,12,1.25,1.25,17,,,,,,,,,,,,,,,,,,
