gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 9c4d6380-d17f-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 07:56:02 GMT-0700 (Pacific Daylight Time),36275, USA,25606,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,36275,0,10,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,36275,1,3,2,0,0,0,,,,,,,,,
3,3,0,25606,1,1,2,0,0,2,,,,,,,,,
4,4,0,25606,1,10,2,2,0,2,0.5,0.5,0.62,0.38,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,36275,0,3,2,2,0,2,,,,,,,,,
6,6,0,36275,1,3,3.67,2,0,2,,,,,,,,,
7,7,0,25606,1,1,3.67,2,0,4.5,,,,,,,,,
8,8,0,25606,1,10,3.67,4.5,0,4.5,,,,,,,,,
9,9,0,36275,0,4,3.67,4.5,0,4.5,,,,,,,,,
10,10,0,36275,0,4,3.67,4.5,0,4.5,,,,,,,,,
11,11,0,25606,1,1,3.67,4.5,0,7,,,,,,,,,
12,12,0,25606,1,10,3.67,7,0,7,,,,,,,,,
13,13,0,36275,1,4,3.67,7,1.67,7,,,,,,,,,
14,14,0,36275,0,3,3.67,7,1.67,7,0.61,0.39,0.72,0.28,0.6,0.4,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0
15,15,0,36275,1,3,3.67,7,2.92,7,,,,,,,,,
16,16,0,36275,0,3,3.67,7,2.92,7,,,,,,,,,
17,17,0,25606,1,1,3.67,7,2.92,12,,,,,,,,,
18,18,0,25606,1,10,3.67,9.5,2.92,12,,,,,,,,,
19,19,0,36275,1,6,3.67,9.5,4.17,12,,,,,,,,,
20,20,0,36275,1,3,5.34,9.5,4.17,12,,,,,,,,,
21,21,0,36275,0,3,5.34,9.5,4.17,12,,,,,,,,,
22,22,0,25606,1,1,5.34,12,4.17,12,,,,,,,,,
23,23,0,36275,1,4,5.34,12,5.42,12,,,,,,,,,
24,24,0,36275,1,3,7.01,12,5.42,12,0.62,0.38,0.71,0.29,0.6,0.4,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0
25,25,0,36275,0,3,7.01,12,5.42,12,,,,,,,,,
26,26,0,36275,0,3,7.01,12,5.42,12,,,,,,,,,
27,27,0,25606,1,1,7.01,12,5.42,17,,,,,,,,,
28,28,0,25606,1,10,7.01,14.5,5.42,17,,,,,,,,,
29,29,0,36275,1,5,7.01,14.5,6.67,17,,,,,,,,,
30,30,0,36275,1,3,8.68,14.5,6.67,17,,,,,,,,,
31,31,0,36275,1,4,8.68,14.5,7.92,17,,,,,,,,,
32,32,0,25606,1,1,8.68,17,7.92,17,,,,,,,,,
33,33,0,36275,0,6,8.68,17,7.92,17,,,,,,,,,
34,34,0,36275,1,3,10.35,17,7.92,17,0.6,0.4,0.73,0.27,0.6,0.4,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0
35,35,0,36275,1,3,10.35,17,9.17,17,,,,,,,,,
36,36,0,36275,1,4,12.02,17,9.17,17,,,,,,,,,
37,37,0,25606,1,1,12.02,17,9.17,22,,,,,,,,,
38,38,0,25606,1,10,12.02,19.5,9.17,22,,,,,,,,,
39,39,0,36275,1,3,12.02,19.5,10.42,22,,,,,,,,,
40,40,0,36275,1,3,13.69,19.5,10.42,22,,,,,,,,,
41,41,0,36275,1,3,13.69,19.5,11.67,22,,,,,,,,,
42,42,0,25606,1,1,13.69,22,11.67,22,,,,,,,,,
43,43,0,36275,1,3,13.69,22,12.92,22,,,,,,,,,
44,44,0,36275,0,3,13.69,22,12.92,22,,,,,,,,,
