gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 36dc3110-d180-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 08:00:21 GMT-0700 (Pacific Daylight Time),17479, USA,93078,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,17479,0,8,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,17479,0,4,0,0,0,0,,,,,,,,,
3,3,0,93078,1,1,0,0,0,2,,,,,,,,,
4,4,0,93078,0,10,0,0,0,2,0.5,0.5,0.62,0.38,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,17479,0,5,0,0,0,2,,,,,,,,,
6,6,0,17479,1,3,1.67,0,0,2,,,,,,,,,
7,7,0,93078,1,4,1.67,0,0,4.5,,,,,,,,,
8,8,0,93078,0,2,1.67,0,0,4.5,,,,,,,,,
9,9,0,17479,0,4,1.67,0,0,4.5,,,,,,,,,
10,10,0,17479,0,3,1.67,0,0,4.5,,,,,,,,,
11,11,0,93078,0,5,1.67,0,0,4.5,,,,,,,,,
12,12,0,93078,0,3,1.67,0,0,4.5,,,,,,,,,
13,13,0,17479,0,3,1.67,0,0,4.5,,,,,,,,,
14,14,0,17479,1,3,3.34,0,0,4.5,0.3,0.7,0.76,0.24,0.4,0.6,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1
15,15,0,17479,0,8,3.34,0,0,4.5,,,,,,,,,
16,16,0,17479,1,5,5.84,0,0,4.5,,,,,,,,,
17,17,0,93078,1,2,5.84,0,0,9.5,,,,,,,,,
18,18,0,93078,0,5,5.84,0,0,9.5,,,,,,,,,
19,19,0,17479,0,4,5.84,0,0,9.5,,,,,,,,,
20,20,0,17479,1,8,8.34,0,0,9.5,,,,,,,,,
21,21,0,17479,0,5,8.34,0,0,9.5,,,,,,,,,
22,22,0,93078,0,3,8.34,0,0,9.5,,,,,,,,,
23,23,0,17479,0,7,8.34,0,0,9.5,,,,,,,,,
24,24,0,93078,0,2,8.34,0,0,9.5,0.11,0.89,0.91,0.09,0.2,0.8,0.99,0.01, 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
25,25,0,17479,0,3,8.34,0,0,9.5,,,,,,,,,
26,26,0,17479,1,4,13.34,0,0,9.5,,,,,,,,,
27,27,0,17479,0,3,13.34,0,0,9.5,,,,,,,,,
28,28,0,93078,0,2,13.34,0,0,9.5,,,,,,,,,
29,29,0,17479,0,3,13.34,0,0,9.5,,,,,,,,,
30,30,0,93078,1,5,13.34,1.25,0,9.5,,,,,,,,,
31,31,0,17479,0,4,13.34,1.25,0,9.5,,,,,,,,,
32,32,0,93078,0,4,13.34,1.25,0,9.5,,,,,,,,,
33,33,0,17479,0,4,13.34,1.25,0,9.5,,,,,,,,,
34,34,0,93078,0,3,13.34,1.25,0,9.5,0.05,0.95,0.92,0.08,0.01,0.99,0.99,0.01, 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
35,35,0,17479,0,5,13.34,1.25,0,9.5,,,,,,,,,
36,36,0,93078,0,3,13.34,1.25,0,9.5,,,,,,,,,
37,37,0,17479,0,3,13.34,1.25,0,9.5,,,,,,,,,
38,38,0,93078,1,3,13.34,2.26,0,9.5,,,,,,,,,
39,39,0,17479,0,5,13.34,2.26,0,9.5,,,,,,,,,
40,40,0,93078,1,3,13.34,3.27,0,9.5,,,,,,,,,
41,41,0,17479,0,3,13.34,3.27,0,9.5,,,,,,,,,
42,42,0,93078,1,7,13.34,4.28,0,9.5,,,,,,,,,
43,43,0,17479,0,3,13.34,4.28,0,9.5,,,,,,,,,
44,44,0,93078,1,4,13.34,5.29,0,9.5,,,,,,,,,
45,1,1,17479,0,3,0,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,17479,1,4,2,0,-,-,,,,,,,,,
47,3,1,93078,1,2,2,2,-,-,,,,,,,,,
48,4,1,93078,0,4,2,2,-,-,0.5,0.5,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
49,5,1,17479,0,5,2,2,-,-,,,,,,,,,
50,6,1,17479,0,2,2,2,-,-,,,,,,,,,
51,7,1,93078,0,6,2,2,-,-,,,,,,,,,
52,8,1,93078,1,2,2,4.5,-,-,,,,,,,,,
53,9,1,17479,0,2,2,4.5,-,-,,,,,,,,,
54,10,1,17479,1,2,3.67,4.5,-,-,,,,,,,,,
55,11,1,93078,1,2,3.67,7,-,-,,,,,,,,,
56,12,1,93078,1,10,3.67,9.5,-,-,,,,,,,,,
57,13,1,17479,0,4,3.67,9.5,-,-,,,,,,,,,
58,14,1,17479,1,2,5.34,9.5,-,-,0.67,0.33,-,-,0.6,0.4,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
59,15,1,17479,1,6,7.01,9.5,-,-,,,,,,,,,
60,16,1,17479,1,3,8.68,9.5,-,-,,,,,,,,,
61,17,1,93078,0,3,8.68,9.5,-,-,,,,,,,,,
62,18,1,93078,1,3,8.68,12,-,-,,,,,,,,,
63,19,1,17479,0,4,8.68,12,-,-,,,,,,,,,
64,20,1,17479,0,2,8.68,12,-,-,,,,,,,,,
65,21,1,93078,1,2,8.68,14.5,-,-,,,,,,,,,
66,22,1,93078,0,2,8.68,14.5,-,-,,,,,,,,,
