gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 b2ab2350-d180-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 08:03:49 GMT-0700 (Pacific Daylight Time),67440, USA,74334,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,67440,1,10,0,0,2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,67440,1,7,2,0,2,0,,,,,,,,,
3,3,0, A3HQ828Y2ICOAW,1,1,2,0,2,2,,,,,,,,,
4,4,0, A3HQ828Y2ICOAW,1,10,2,2,2,2,0.5,0.5,0.5,0.5,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,67440,1,8,2,2,3.67,2,,,,,,,,,
6,6,0,67440,1,6,3.67,2,3.67,2,,,,,,,,,
7,7,0, A3HQ828Y2ICOAW,1,2,3.67,2,3.67,4.5,,,,,,,,,
8,8,0, A3HQ828Y2ICOAW,1,5,3.67,4.5,3.67,4.5,,,,,,,,,
9,9,0,67440,1,4,3.67,4.5,5.34,4.5,,,,,,,,,
10,10,0,67440,1,4,5.34,4.5,5.34,4.5,,,,,,,,,
11,11,0, A3HQ828Y2ICOAW,1,2,5.34,4.5,5.34,7,,,,,,,,,
12,12,0, A3HQ828Y2ICOAW,0,6,5.34,4.5,5.34,7,,,,,,,,,
13,13,0,67440,1,6,5.34,4.5,7.01,7,,,,,,,,,
14,14,0,67440,0,4,5.34,4.5,7.01,7,0.45,0.55,0.5,0.5,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
15,15,0,67440,1,10,5.34,4.5,8.68,7,,,,,,,,,
16,16,0,67440,0,5,5.34,4.5,8.68,7,,,,,,,,,
17,17,0, A3HQ828Y2ICOAW,0,4,5.34,4.5,8.68,7,,,,,,,,,
18,18,0, A3HQ828Y2ICOAW,0,4,5.34,4.5,8.68,7,,,,,,,,,
19,19,0,67440,1,1,5.34,4.5,10.35,7,,,,,,,,,
20,20,0,67440,0,3,5.34,4.5,10.35,7,,,,,,,,,
21,21,0, A3HQ828Y2ICOAW,1,3,5.34,4.5,10.35,9.5,,,,,,,,,
22,22,0, A3HQ828Y2ICOAW,0,4,5.34,4.5,10.35,9.5,,,,,,,,,
23,23,0,67440,1,5,5.34,4.5,12.02,9.5,,,,,,,,,
24,24,0, A3HQ828Y2ICOAW,0,3,5.34,4.5,12.02,9.5,0.45,0.55,0.35,0.65,0.4,0.6,0.4,0.6, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
25,25,0,67440,0,3,5.34,4.5,12.02,9.5,,,,,,,,,
26,26,0,67440,0,9,5.34,4.5,12.02,9.5,,,,,,,,,
27,27,0, A3HQ828Y2ICOAW,1,2,5.34,4.5,12.02,11.17,,,,,,,,,
28,28,0, A3HQ828Y2ICOAW,0,3,5.34,4.5,12.02,11.17,,,,,,,,,
29,29,0,67440,0,5,5.34,4.5,12.02,11.17,,,,,,,,,
30,30,0,67440,1,7,7.84,4.5,12.02,11.17,,,,,,,,,
31,31,0, A3HQ828Y2ICOAW,1,2,7.84,4.5,12.02,12.84,,,,,,,,,
32,32,0, A3HQ828Y2ICOAW,0,2,7.84,4.5,12.02,12.84,,,,,,,,,
33,33,0, A3HQ828Y2ICOAW,0,2,7.84,4.5,12.02,12.84,,,,,,,,,
34,34,0, A3HQ828Y2ICOAW,0,4,7.84,4.5,12.02,12.84,0.3,0.7,0.55,0.45,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
35,35,0,67440,1,5,7.84,4.5,13.69,12.84,,,,,,,,,
36,36,0,67440,0,4,7.84,4.5,13.69,12.84,,,,,,,,,
37,37,0, A3HQ828Y2ICOAW,1,4,7.84,4.5,13.69,15.34,,,,,,,,,
38,38,0, A3HQ828Y2ICOAW,1,3,7.84,6.17,13.69,15.34,,,,,,,,,
39,39,0,67440,1,6,7.84,6.17,15.36,15.34,,,,,,,,,
40,40,0,67440,0,8,7.84,6.17,15.36,15.34,,,,,,,,,
41,41,0, A3HQ828Y2ICOAW,1,2,7.84,6.17,15.36,17.84,,,,,,,,,
42,42,0, A3HQ828Y2ICOAW,0,4,7.84,6.17,15.36,17.84,,,,,,,,,
43,43,0,67440,1,7,7.84,6.17,17.03,17.84,,,,,,,,,
44,44,0, A3HQ828Y2ICOAW,1,4,7.84,7.84,17.03,17.84,,,,,,,,,
45,1,1,67440,1,3,2,0,-,-,0.5,0.5,-,-,0.5,0.5,-,-, 0 | 0 | 1 | 1
46,2,1,67440,1,6,4,0,-,-,,,,,,,,,
47,3,1, A3HQ828Y2ICOAW,1,3,4,2,-,-,,,,,,,,,
48,4,1, A3HQ828Y2ICOAW,0,4,4,2,-,-,0.38,0.62,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
49,5,1,67440,1,6,6.5,2,-,-,,,,,,,,,
50,6,1,67440,1,6,9,2,-,-,,,,,,,,,
51,7,1, A3HQ828Y2ICOAW,1,3,9,3.67,-,-,,,,,,,,,
52,8,1, A3HQ828Y2ICOAW,1,5,9,5.34,-,-,,,,,,,,,
53,9,1,67440,1,6,11.5,5.34,-,-,,,,,,,,,
54,10,1,67440,0,6,11.5,5.34,-,-,,,,,,,,,
55,11,1, A3HQ828Y2ICOAW,1,2,11.5,7.01,-,-,,,,,,,,,
56,12,1, A3HQ828Y2ICOAW,0,2,11.5,7.01,-,-,,,,,,,,,
57,13,1, A3HQ828Y2ICOAW,0,4,11.5,7.01,-,-,,,,,,,,,
58,14,1, A3HQ828Y2ICOAW,1,8,11.5,8.68,-,-,0.33,0.67,-,-,0.4,0.6,-,-, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
59,15,1,67440,0,7,11.5,8.68,-,-,,,,,,,,,
60,16,1,67440,0,6,11.5,8.68,-,-,,,,,,,,,
61,17,1, A3HQ828Y2ICOAW,0,2,11.5,8.68,-,-,,,,,,,,,
62,18,1, A3HQ828Y2ICOAW,0,4,11.5,8.68,-,-,,,,,,,,,
63,19,1,67440,1,4,14,8.68,-,-,,,,,,,,,
64,20,1,67440,0,7,14,8.68,-,-,,,,,,,,,
65,21,1, A3HQ828Y2ICOAW,1,3,14,10.35,-,-,,,,,,,,,
66,22,1, A3HQ828Y2ICOAW,1,3,14,12.02,-,-,,,,,,,,,
