gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 2d7e8210-d182-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 08:14:25 GMT-0700 (Pacific Daylight Time),37966, USA,63566,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,37966,0,7,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,37966,1,7,2,0,0,0,,,,,,,,,
3,3,0,63566,1,2,2,0,0,2,,,,,,,,,
4,4,0,63566,0,4,2,0,0,2,0.38,0.62,0.62,0.38,0.4,0.6,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1
5,5,0,37966,0,5,2,0,0,2,,,,,,,,,
6,6,0,37966,1,6,4.5,0,0,2,,,,,,,,,
7,7,0,63566,1,4,4.5,0,0,4.5,,,,,,,,,
8,8,0,63566,0,3,4.5,0,0,4.5,,,,,,,,,
9,9,0,37966,0,4,4.5,0,0,4.5,,,,,,,,,
10,10,0,37966,0,6,4.5,0,0,4.5,,,,,,,,,
11,11,0,63566,0,3,4.5,0,0,4.5,,,,,,,,,
12,12,0,63566,0,6,4.5,0,0,4.5,,,,,,,,,
13,13,0,37966,0,8,4.5,0,0,4.5,,,,,,,,,
14,14,0,63566,0,6,4.5,0,0,4.5,0.25,0.75,0.75,0.25,0.2,0.8,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1
15,15,0,37966,0,6,4.5,0,0,4.5,,,,,,,,,
16,16,0,37966,1,7,9.5,0,0,4.5,,,,,,,,,
17,17,0,63566,1,4,9.5,0,0,9.5,,,,,,,,,
18,18,0,63566,0,3,9.5,0,0,9.5,,,,,,,,,
19,19,0,37966,0,8,9.5,0,0,9.5,,,,,,,,,
20,20,0,63566,0,8,9.5,0,0,9.5,,,,,,,,,
21,21,0,37966,0,4,9.5,0,0,9.5,,,,,,,,,
22,22,0,63566,1,5,9.5,1.25,0,9.5,,,,,,,,,
23,23,0,37966,0,5,9.5,1.25,0,9.5,,,,,,,,,
24,24,0,63566,0,5,9.5,1.25,0,9.5,0.11,0.89,0.91,0.09,0.2,0.8,0.99,0.01, 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1
25,25,0,37966,0,4,9.5,1.25,0,9.5,,,,,,,,,
26,26,0,37966,1,5,14.5,1.25,0,9.5,,,,,,,,,
