gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 297c8c60-d183-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 08:21:27 GMT-0700 (Pacific Daylight Time),82010, USA,75193,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,82010,0,6,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,82010,0,4,0,0,0,0,,,,,,,,,
3,3,0,75193,1,10,0,0,0,2,,,,,,,,,
4,4,0,75193,0,2,0,0,0,2,0.5,0.5,0.62,0.38,0.6,0.4,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0
5,5,0,82010,0,4,0,0,0,2,,,,,,,,,
6,6,0,82010,1,3,1.67,0,0,2,,,,,,,,,
7,7,0,75193,1,3,1.67,0,0,4.5,,,,,,,,,
8,8,0,75193,1,3,1.67,2.5,0,4.5,,,,,,,,,
9,9,0,82010,0,3,1.67,2.5,0,4.5,,,,,,,,,
10,10,0,82010,0,4,1.67,2.5,0,4.5,,,,,,,,,
11,11,0,75193,0,8,1.67,2.5,0,4.5,,,,,,,,,
12,12,0,75193,0,4,1.67,2.5,0,4.5,,,,,,,,,
13,13,0,82010,0,7,1.67,2.5,0,4.5,,,,,,,,,
14,14,0,82010,1,4,3.34,2.5,0,4.5,0.45,0.55,0.75,0.25,0.4,0.6,0.8,0.2, 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1
15,15,0,82010,1,3,3.34,2.5,1.25,4.5,,,,,,,,,
16,16,0,82010,1,4,5.84,2.5,1.25,4.5,,,,,,,,,
17,17,0,75193,0,5,5.84,2.5,1.25,4.5,,,,,,,,,
18,18,0,75193,1,3,5.84,4.17,1.25,4.5,,,,,,,,,
19,19,0,82010,0,3,5.84,4.17,1.25,4.5,,,,,,,,,
20,20,0,82010,1,4,8.34,4.17,1.25,4.5,,,,,,,,,
21,21,0,82010,0,3,8.34,4.17,1.25,4.5,,,,,,,,,
22,22,0,75193,0,6,8.34,4.17,1.25,4.5,,,,,,,,,
