gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,
 46bfa0d0-d185-11e9-8eb2-eb0c3dcf92ad, Sat Sep 07 2019 08:36:35 GMT-0700 (Pacific Daylight Time),11316, USA,23583,  INDIA, True, False ,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns 
1,1,0,11316,1,10,0,0,2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0 | 0 | 1 | 1
2,2,0,11316,1,5,2,0,2,0,,,,,,,,,
3,3,0,23583,0,3,2,0,2,0,,,,,,,,,
4,4,0,23583,0,3,2,0,2,0,0.38,0.62,0.38,0.62,0.4,0.6,0.4,0.6, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
5,5,0,11316,1,9,2,0,4.5,0,,,,,,,,,
6,6,0,11316,0,4,2,0,4.5,0,,,,,,,,,
7,7,0,23583,1,7,2,0,4.5,1.67,,,,,,,,,
8,8,0,23583,0,8,2,0,4.5,1.67,,,,,,,,,
9,9,0,11316,1,4,2,0,7,1.67,,,,,,,,,
10,10,0,11316,1,6,4.5,0,7,1.67,,,,,,,,,
11,11,0,23583,1,3,4.5,0,7,3.34,,,,,,,,,
12,12,0,23583,0,5,4.5,0,7,3.34,,,,,,,,,
13,13,0,23583,1,8,4.5,0,7,5.01,,,,,,,,,
14,14,0,23583,1,10,4.5,1.67,7,5.01,0.33,0.67,0.38,0.62,0.4,0.6,0.4,0.6, 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1
15,15,0,11316,1,6,4.5,1.67,9.5,5.01,,,,,,,,,
16,16,0,11316,1,10,7,1.67,9.5,5.01,,,,,,,,,
