StartDate,EndDate,Duration (in seconds),RecordedDate,ResponseId,UserLanguage,Q20,Q13_1,Q13_2,Q14,Q9_1,Q9_2,Q16_1,Q12_1,Q12_2,Q17_1,Q19,Q21,player_id
Start Date,End Date,Duration (in seconds),Recorded Date,Response ID,User Language,Enter the code you received at the end of the quiz here.  Use the same code to verify completion of the task in AMTurk.,How would you rate your knowledge about the states and famous people? - related to USA,How would you rate your knowledge about the states and famous people? - related to India,Why did you rate your knowledge about the states and famous people the way you did above?,In the Part 1 (SET A) of the quiz: - How FAIR or UNFAIR was it for YOU that the computer gave you the designated number of questions?,In the Part 1 (SET A) of the quiz: - How FAIR or UNFAIR was it for your PARTNER that the computer gave them the designated number of questions?,In the Part 1 (SET A) of the quiz: - How much do you trust the computer to make a good decision about the distribution of questions?,In Part 2 (SET B) of the quiz: - How FAIR or UNFAIR was it for YOU that the computer gave you the designated number of questions?,In Part 2 (SET B) of the quiz: - How FAIR or UNFAIR was it for your PARTNER that the computer gave them the designated number of questions?,In Part 2 (SET B) of the quiz: - How much do you trust the computer to make a good decision about the distribution of questions?,Did you notice a difference in how each part distributed questions?,What factors in the quiz caused you to answer in the way you did?,player_id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""duration""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""player_id""}"
2019-09-06 08:38:35,2019-09-06 08:43:20,285,2019-09-06 08:43:21,R_yNOxqtzloZ6Ml9v,EN,11215,5,6,very interest of that topic,6,5,5,5,6,6,yes ,computer disribution,11215
2019-09-06 08:37:19,2019-09-06 08:44:30,430,2019-09-06 08:44:31,R_vGI1CubUxkqhjdn,EN,A34D5D6PU193AR,5,5,my guessing ,5,5,5,5,6,5,Part 2 is beter then part 1,very trustworthy,18647
2019-09-06 08:36:23,2019-09-06 08:54:04,1061,2019-09-06 08:54:05,R_3fNzHGOyg316drq,EN,c5ea97c0-d0b3-11e9-a380-efcf2a59dbde,1: very poor,7: very good,,4,5,5,5,6,7: very trustworthy,no,,27340
2019-09-06 08:43:35,2019-09-06 08:54:44,668,2019-09-06 08:54:44,R_ehAq5cPMEifqrJL,EN,20831,5,6,this people is a very knowledge ,3,5,4,5,4,4,rock music  singer is banner will be change colors,n/a,20831
2019-09-06 08:38:51,2019-09-06 08:57:46,1134,2019-09-06 08:57:46,R_10TXol91tebxmaC,EN,e0d3d320-d0b4-11e9-a380-efcf2a59dbde,3,7: very good,Familiar ,5,6,7: very trustworthy,6,6,7: very trustworthy,No,None,72414
2019-09-06 08:36:15,2019-09-06 08:59:00,1365,2019-09-06 08:59:00,R_2z8AWOMnuH77qx9,EN,e0d3d320-d0b4-11e9-a380-efcf2a59dbde,4,4,i rated according to my  knoledge,7: very fair,5,5,4,3,5,yes,geographical location helped me to anser,74824
2019-09-06 08:42:12,2019-09-06 09:00:09,1076,2019-09-06 09:00:09,R_cOQTEPD9BgBXX9f,EN,996f9c30-d0b4-11e9-a380-efcf2a59dbde,5,1: very poor,I'm familiar with famous people in the USA yet mediocre when it comes to geography knowledge.  I know next to nothing about India in general.,7: very fair,7: very fair,6,7: very fair,7: very fair,6,No and I focused intently.,I just answered to the best of my ability at all times but had to guess at nearly all of the questions related to India.,74012
2019-09-06 08:43:14,2019-09-06 09:00:42,1047,2019-09-06 09:00:42,R_2fkCAnhNdPIOZhF,EN,b68e2390-d0b4-11e9-a380-efcf2a59dbde,7: very good,1: very poor,"I'm an American. I know very little about Indian states, celebrities and politicians.",4,4,3,4,4,3,No,My knowledge of US geography and personalities. And lack of knowledge about India.,83080
2019-09-06 08:50:15,2019-09-06 09:03:36,800,2019-09-06 09:03:36,R_DMkHwdpJU4RybF7,EN,b489ab90-d0b5-11e9-a380-efcf2a59dbde,4,1: very poor,because thats my experience ,5,3,4,4,2,5,it seemed like i got less questions,some i had to guess,63272
2019-09-06 08:40:38,2019-09-06 09:04:28,1429,2019-09-06 09:04:29,R_3HTTVWmIrPbyxHE,EN,94889db0-d0b5-11e9-a380-efcf2a59dbde,5,6,i am middle knowledge about the questions,4,5,6,3,4,4,question distributed is little different,i answer the question is about my knowledge,39521
2019-09-06 08:48:07,2019-09-06 09:05:17,1029,2019-09-06 09:05:18,R_D7SrTupFumy5DDr,EN,94889db0-d0b5-11e9-a380-efcf2a59dbde,5,2,"Since I live in the states I have more knowledge, thus I choose a higher value. I don't live in India but I have heard a few things, which explains the low value.",4,4,4,4,4,4,"Nope. Look the same too me. Only difference I noticed was how much time you had to answer the question, which was less then the first part.","If I knew the answer of had a hunch I tried my best to answer, if I had no clue I skipped it.",64024
2019-09-06 08:40:31,2019-09-06 09:05:51,1519,2019-09-06 09:05:52,R_1LUKZ1MYqp8UNkM,EN,b489ab90-d0b5-11e9-a380-efcf2a59dbde,5,6,my opinion,5,6,5,6,5,5,no,search,82472
